mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	study_catalog	source	dataset_name	sample_id	split
G_35_1B_malorum_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	19	3111579	57.79	490057	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter malorum A	Rappaport2024_sourdough	Rappaport2024_sourdough	G_35_1B_malorum_assembly		Rappaport2024_sourdough
G_398_1B_oryzifermentans_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	68	3117665	52.3	167029	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter oryzifermentans	Rappaport2024_sourdough	Rappaport2024_sourdough	G_398_1B_oryzifermentans_assembly		Rappaport2024_sourdough
G_490_1A_malorum_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.5	29	3264742	57.64	401063	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter malorum A	Rappaport2024_sourdough	Rappaport2024_sourdough	G_490_1A_malorum_assembly		Rappaport2024_sourdough
G_497_1B_pasteurianus_extracted_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.25	29	3045088	53.01	230414	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	Rappaport2024_sourdough	Rappaport2024_sourdough	G_497_1B_pasteurianus_extracted_assembly		Rappaport2024_sourdough
G_507_1A_malorum_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	18	3132409	57.73	490063	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter malorum A	Rappaport2024_sourdough	Rappaport2024_sourdough	G_507_1A_malorum_assembly		Rappaport2024_sourdough
G_514_1B_orientalis_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	34	3100319	52.51	695501	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter orientalis	Rappaport2024_sourdough	Rappaport2024_sourdough	G_514_1B_orientalis_assembly		Rappaport2024_sourdough
G_517_1B_acetobacter_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	21	3243724	55.93	882176	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.	Rappaport2024_sourdough	Rappaport2024_sourdough	G_517_1B_acetobacter_assembly		Rappaport2024_sourdough
G_65_1_oryzoeni_assembly	sourdough	sourdough	wheat	grains	sourdough	99.5	0.0	98	3041014	52.86	129203	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter oryzoeni	Rappaport2024_sourdough	Rappaport2024_sourdough	G_65_1_oryzoeni_assembly		Rappaport2024_sourdough
G_97_1A_fabarum_extracted_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.25	17	2570077	58.51	209554	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter fabarum	Rappaport2024_sourdough	Rappaport2024_sourdough	G_97_1A_fabarum_extracted_assembly		Rappaport2024_sourdough
SRR10454486C2703_ghanensis_assembly	sourdough	sourdough	wheat	grains	sourdough	99.75	0.0	25	2569459	57.08	264885	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter ghanensis	Rappaport2024_sourdough	Rappaport2024_sourdough	SRR10454486C2703_ghanensis_assembly		Rappaport2024_sourdough
SRR10454491C1008_acetobacter_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	9	3046114	53.4	534616	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.	Rappaport2024_sourdough	Rappaport2024_sourdough	SRR10454491C1008_acetobacter_assembly		Rappaport2024_sourdough
SRR10454494C1110_syzygii_assembly	sourdough	sourdough	wheat	grains	sourdough	96.02	0.0	17	2288775	56.28	169319	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter syzygii	Rappaport2024_sourdough	Rappaport2024_sourdough	SRR10454494C1110_syzygii_assembly		Rappaport2024_sourdough
SRR10454509C293_malorum_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.75	13	3276628	57.56	508474	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter malorum	Rappaport2024_sourdough	Rappaport2024_sourdough	SRR10454509C293_malorum_assembly		Rappaport2024_sourdough
SRR10454511C706_acetobacter_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	23	2638157	52.26	186320	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp.	Rappaport2024_sourdough	Rappaport2024_sourdough	SRR10454511C706_acetobacter_assembly		Rappaport2024_sourdough
SRR10454513_mb_1_oryzifermentans_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	16	2653249	52.33	216604	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter oryzifermentans	Rappaport2024_sourdough	Rappaport2024_sourdough	SRR10454513_mb_1_oryzifermentans_assembly		Rappaport2024_sourdough
SRR10454516C127_okinawensis_assembly	sourdough	sourdough	wheat	grains	sourdough	99.5	0.0	40	2692650	58.12	123941	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter okinawensis	Rappaport2024_sourdough	Rappaport2024_sourdough	SRR10454516C127_okinawensis_assembly		Rappaport2024_sourdough
SRR10454517C1506_cerevisiae_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	21	3142535	57.73	908619	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter cerevisiae	Rappaport2024_sourdough	Rappaport2024_sourdough	SRR10454517C1506_cerevisiae_assembly		Rappaport2024_sourdough
