mag_id	completeness	contamination	contigs	total_length	gc	n50	sample_accession	run_accession	country	project_accession	study_accession	database_origin	reference	rep_95id	rep_99id	taxonomy	species	food_name	sample_name	origin	ingredient_group	main_ingredient	food_type	consistency	alcohol_level	acid_type	fermentation_temperature	aging_time
LeechJ_2020__ERS3967719__bin.7	84.3120474	0.51843318	214	1727741	60.18	9833	ERS3967719	ERR4757834	Russia	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	LeechJ_2020__ERS3967706__bin.3	LeechJ_2020__ERS3967706__bin.3	Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium	Bifidobacterium longum	agousha	agousha	Animal	Dairy	milk	beverage	liquid	none	lactic	mesophilic	1-2 days
LeechJ_2020__ERS3967719__bin.4	67.24137931	0	95	1293077	47.18	20919	ERS3967719	ERR4757834	Russia	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	LeechJ_2020__ERS3967703__bin.6	LeechJ_2020__ERS3967703__bin.6	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus mucosae	agousha	agousha	Animal	Dairy	milk	beverage	liquid	none	lactic	mesophilic	1-2 days
ODFM-BA-A-0110-001_Corynebacterium_nuruki_S6-4	99.1	0.45	68	3106595	69.49	92693	ODFM-BA-A-0110-001	ODFM-BA-A-0110-001	NA	NA	NA	ODFM	Whon TW, Ahn SW, Yang S, Kim JY, Kim YB, Kim Y, Hong JM, Jung H, Choi YE, Lee SH, Roh SW. ODFM, an omics data resource from microorganisms associated with fermented foods. Sci Data. 2021 Apr 20;8(1):113. doi: 10.1038/s41597-021-00895-x.	ODFM-BA-A-0110-001_Corynebacterium_nuruki_S6-4	ODFM-BA-A-0110-001_Corynebacterium_nuruki_S6-4	Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Corynebacterium	Corynebacterium nuruki	fermentation starter	alcohol_fermentation_starter	Plant	Grain	rice	starter culture	semi-solid	low	none	none	5-7 days
EBC_031.14	56.19	0	88	4343687	53.28	89000	SAMN40633065	SRS20892295	USA	PRJNA1092721	NA	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	EBC_031.14	EBC_031.14	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter_A	Citrobacter A amalonaticus	sauerkraut	alimentari_aurora_red_kraut_brine	Plant	Vegetables_Aromatics	cabbage	pickled vegetables	solid	none	lactic	mesophilic	2-6 weeks
EBC_030.11	56.9	0	50	2090976	52.02	66283	SAMN40633064	SRS20892296	USA	PRJNA1092721	NA	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	LeechJ_2020__ERS3967711__bin.13	EBC_030.11	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rahnella	Rahnella variigena	sauerkraut	alimentari_aurora_red_kraut_solid	Plant	Vegetables_Aromatics	cabbage	pickled vegetables	solid	none	lactic	mesophilic	2-6 weeks
Imad_A-2.bin.9	89.43	2.18	491	2692551	42.27	7319	SAMN29828073	SRR20308680	Lebanon	PRJNA860091	SRP387050	NCBI	Ammoun I, Kothe CI, Mohellibi N, Beal C, Yaacoub R, Renault P. Lebanese fermented goat milk products: From tradition to meta-omics. Food Res Int. 2023 Jun;168:112762. doi: 10.1016/j.foodres.2023.112762.	MASTER_WP4_FFoQSI_2__VB11-26__bin.7	Imad_A-2.bin.9	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	Acinetobacter johnsonii	ambriss	ambriss	Animal	Dairy	milk goat	cheese	semi-solid	none	lactic	mesophilic	20 days
GCF_003403295.1_ASM340329v1_genomic	100	0	196	3477184	62.73	49803	GCF_003403295.1	GCF_003403295.1	NA	Refseq	Refseq	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	GCF_003403295.1_ASM340329v1_genomic	GCF_003403295.1_ASM340329v1_genomic	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter	Komagataeibacter melaceti	vinegar apple cider	apple_cider_vinegar	Plant	Fruit	apple	vinegar	liquid	low	acetic	mesophilic	3-4 weeks
GCF_013155425.1_ASM1315542v1_genomic	100	1	143	3738899	62.57	60583	GCF_013155425.1	GCF_013155425.1	NA	Refseq	Refseq	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	ArikanM_2020__ERS1939593__bin.5	GCF_013155425.1_ASM1315542v1_genomic	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Novacetimonas	Novacetimonas entanii	vinegar apple cider	apple_cider_vinegar	Plant	Fruit	apple	vinegar	liquid	low	acetic	mesophilic	3-4 weeks
GCF_004102045.2_ASM410204v2_genomic	98.4	0	1	1664394	40.32	1664394	GCF_004102045.2	GCF_004102045.2	NA	Refseq	Refseq	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	GCF_004102045.2_ASM410204v2_genomic	GCF_004102045.2_ASM410204v2_genomic	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Oenococcus	Oenococcus sicerae	cider apple	apple_juice_in_fermentation_cider	Plant	Fruit	apple	beverage	liquid	medium	lactic	mesophilic	1-3 months
LeechJ_2020__ERS3967724__bin.7	99.75124378	0	45	2833276	61.08	111736	ERS3967724	ERR4757839	Ireland	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	G_275_3_oxydans_assembly	LeechJ_2020__ERS3967724__bin.7	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconobacter	Gluconobacter potus	vinegar apple cider	apple_cider_vinegar	Plant	Fruit	apple	vinegar	liquid	low	acetic	mesophilic	3-4 weeks
LeechJ_2020__ERS3967724__bin.1	95.4642112	0.497512438	305	2330766	60.28	11506	ERS3967724	ERR4757839	Ireland	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	LeechJ_2020__ERS3967724__bin.1	LeechJ_2020__ERS3967724__bin.1	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	Acetobacter sp937900755	vinegar apple cider	apple_cider_vinegar	Plant	Fruit	apple	vinegar	liquid	low	acetic	mesophilic	3-4 weeks
LeechJ_2020__ERS3967724__bin.4	99.47643979	1.178010471	29	2439138	36.65	136811	ERS3967724	ERR4757839	Ireland	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	MortensenS_xxxx__WK006-2-G-48h-01C9_S6__bin.4	LeechJ_2020__ERS3967724__bin.4	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Liquorilactobacillus	Liquorilactobacillus nagelii	vinegar apple cider	apple_cider_vinegar	Plant	Fruit	apple	vinegar	liquid	low	acetic	mesophilic	3-4 weeks
LeechJ_2020__ERS3967724__bin.3	97.32620321	0	31	1842301	37.72	89565	ERS3967724	ERR4757839	Ireland	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	GCF_020510245.1_ASM2051024v1_genomic	LeechJ_2020__ERS3967724__bin.3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Oenococcus	Oenococcus oeni	vinegar apple cider	apple_cider_vinegar	Plant	Fruit	apple	vinegar	liquid	low	acetic	mesophilic	3-4 weeks
GCF_001434835.1_ASM143483v1_genomic	99.38	1.25	18	2914969	51.61	444236	GCF_001434835.1	GCF_001434835.1	NA	Refseq	Refseq	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	GCF_001434835.1_ASM143483v1_genomic	GCF_001434835.1_ASM143483v1_genomic	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus	Levilactobacillus acidifarinae	sourdough	artisanal_wheat_sourdough	Plant	Grain	wheat	starch-based staple	solid	low	mixed	mesophilic	1-2 days
GCF_009295845.1_ASM929584v1_genomic	99.2	1.25	1	2825994	53.32	2825994	GCF_009295845.1	GCF_009295845.1	NA	Refseq	Refseq	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	GCF_009295845.1_ASM929584v1_genomic	GCF_009295845.1_ASM929584v1_genomic	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus	Levilactobacillus zymae	sourdough	artisanal_wheat_sourdough	Plant	Grain	wheat	starch-based staple	solid	low	mixed	mesophilic	1-2 days
LeechJ_xxxx__AF82__bin.9	77.12468595	3.488749047	536	1919860	47.15	3941	SAMN39472501	SRR27593158	Burkina Faso	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	CM_UNINA_FFOOD__FFOOD_337__bin.6	LeechJ_xxxx__AF82__bin.9	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus rhamnosus	attieke	attieke	Plant	Roots_Tubers	cassava	starch-based staple	solid	none	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF82__bin.16	87.92376455	3.339517625	205	1814187	36.45	15630	SAMN39472501	SRR27593158	Burkina Faso	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FontanaF_2023__SRR20746979__bin.3	LeechJ_xxxx__AF82__bin.16	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus helveticus	attieke	attieke	Plant	Roots_Tubers	cassava	starch-based staple	solid	none	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF82__bin.18	93.02536232	2.309782609	123	1442486	54.4	16814	SAMN39472501	SRR27593158	Burkina Faso	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	GCF_009428965.1_ASM942896v1_genomic	GCF_009428965.1_ASM942896v1_genomic	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus pontis	attieke	attieke	Plant	Roots_Tubers	cassava	starch-based staple	solid	none	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF82__bin.12	50.92950455	0.815217391	156	793249	49.33	6082	SAMN39472501	SRR27593158	Burkina Faso	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	MASTER_WP4_UNINA_2__P-22__bin.8	GCF_001435935.1_ASM143593v1_genomic	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus panis	attieke	attieke	Plant	Roots_Tubers	cassava	starch-based staple	solid	none	lactic	mesophilic	1-7 days
