genome,completeness,contamination
GCF_007989765.1_ASM798976v1_genomic,99.46,0.54
GCF_007991935.1_ASM799193v1_genomic,99.48,1.31
GCF_007992055.1_ASM799205v1_genomic,99.48,1.57
GCF_008876665.1_ASM887666v1_genomic,99.46,0.54
GCF_009295845.1_ASM929584v1_genomic,99.2,1.25
GCF_009428965.1_ASM942896v1_genomic,99.46,0.54
GCF_029509535.1_ASM2950953v1_genomic,99.46,1.36
GCF_000785105.2_ASM78510v2_genomic,99.38,0.62
GCF_004745505.1_ASM474550v1_genomic,99.38,0.62
GCF_004745525.1_ASM474552v1_genomic,99.48,0.52
GCF_001436255.1_ASM143625v1_genomic,98.94,0.21
GCA_003325435.1_Razy_CA_genomic,94.35,51.74
GCF_014843995.1_ASM1484399v1_genomic,100.0,0.75
GCF_003124125.1_ASM312412v1_genomic,98.75,1.76
GCF_003946305.1_ASM394630v1_genomic,99.48,1.31
GCF_004014775.2_ASM401477v2_genomic,100.0,0.0
GCF_011074885.1_ASM1107488v2_genomic,98.76,0.21
GCF_001433825.1_ASM143382v1_genomic,98.07,1.25
GCF_001434655.1_ASM143465v1_genomic,99.38,0.31
GCF_001436275.1_ASM143627v1_genomic,99.48,0.0
GCF_019444005.1_ASM1944400v1_genomic,99.48,0.13
GCF_019656075.1_ASM1965607v1_genomic,99.33,0.56
GCF_020510245.1_ASM2051024v1_genomic,98.66,0.0
GCF_010306265.1_ASM1030626v1_genomic,98.77,0.0
MacoriG_2019__CS_16__bin.2,99.44,0.14
MacoriG_2019__CS_2__bin.6,86.83,0.69
MacoriG_2019__CS_40__bin.4,98.99,0.51
MacoriG_2019__CS_9__bin.3,98.75,0.21
MacoriG_2019__CS_R2__bin.9,95.84,0.69
MacoriG_2019__CS_R28__bin.1,92.57,0.43
MacoriG_2019__CS_R28__bin.2,97.5,2.52
MacoriG_2019__CS_R30__bin.2,92.32,2.46
MacoriG_2019__CS_R32__bin.3,98.51,0.27
MacoriG_2019__CS_R33__bin.1,94.56,0.32
MacoriG_2019__CS_R36__bin.1,98.09,1.09
MacoriG_2019__CS_R4__bin.5,86.71,0.98
MacoriG_2019__CS_R4__bin.6,97.03,0.44
MacoriG_2019__CS_R4__bin.7,99.28,0.0
MacoriG_2019__CS_R42__bin.6,99.57,0.74
MacoriG_2019__CS_R44__bin.13,94.68,0.58
MacoriG_2019__CS_R46__bin.2,98.8,0.54
MacoriG_2019__CS_R46__bin.3,100.0,1.66
MacoriG_2019__CS_R46__bin.9,100.0,0.86
MacoriG_2019__CS_R7__bin.2,98.87,0.48
MacoriG_2019__CS_R7__bin.6,93.25,1.19
MilaniC_2019__SRR7587240__bin.1,90.51,1.1
MilaniC_2019__SRR7587240__bin.10,94.81,1.0
MilaniC_2019__SRR7587240__bin.19,92.77,4.05
MilaniC_2019__SRR7587240__bin.8,90.98,3.44
PfeferT_2018__SRR6514658__bin.4,65.07,0.0
QuigleyL_2016__ERR752914__bin.5,94.07,0.85
QuigleyL_2016__ERR752918__bin.3,98.79,0.0
PasolliE_2019__DS002__bin.1,98.36,0.87
WalshAM_2017__ERR1981166__bin.3,100.0,0.0
WalshAM_2017__ERR1981167__bin.1,99.0,1.16
WalshAM_2017__ERR1981169__bin.1,97.81,0.59
WalshAM_2017__ERR1981172__bin.2,98.88,0.0
WalshAM_2017__ERR1981175__bin.3,93.79,0.7
PasolliE_2019__Y001__bin.6,99.62,0.0
EBC_031.14,56.19,0.0
EBC_030.11,56.9,0.0
EBC_088.16,96.18,1.36
EBC_088.26,95.26,1.44
EBC_088.5,98.33,0.72
C-R03.bin.3,95.24,0.21
EBC_110.6,89.16,4.3
EBC_111.13,88.54,0.27
EBC_098.21,99.48,1.31
EBC_098.8,85.13,3.52
EBC_097.14,99.06,0.12
EBC_147.23,77.74,0.86
EBC_095.37,58.62,0.0
EBC_089.11,87.36,4.39
EBC_089.14,78.58,2.36
EBC_089.16,96.22,0.54
EBC_089.4,84.65,4.83
EBC_089.8,72.02,0.55
EBC_080.1,96.07,3.48
EBC_080.11,59.66,0.0
EBC_082.15,92.69,4.54
EBC_082.8,95.03,1.19
EBC_024.4,93.58,0.21
EBC_040.8,81.93,0.91
EBC_086.5,99.44,1.76
EBC_105.6,99.78,0.0
SEM_41_S58.18,67.4,0.0
SEM_41_S58.19,72.56,3.76
EBC_090.1,50.32,6.74
EBC_090.4,91.36,3.87
EBC_090.9,64.83,0.0
EBC_113.1,95.16,0.3
EBC_135.6,55.22,1.3
EBC_134.5,98.39,8.33
EBC_134.6,94.08,0.65
EBC_134.7,99.07,3.09
EBC_133.12,91.76,0.54
EBC_133.14,80.34,0.11
EBC_140.1,93.65,0.31
EBC_140.10,70.64,5.17
EBC_140.5,94.23,1.08
EBC_144.5,76.02,3.45
EBC_145.4,96.69,1.89
EBC_084.33,63.79,3.45
EBC_084.34,88.85,3.44
EBC_084.37,74.39,1.67
EBC_035.5,72.62,3.99
SEM_44_S61.1,99.34,0.93
SEM_47_S64.31,62.41,2.49
SEM_47_S64.44,62.7,0.0
ODFM-BA-A-0110-001_Corynebacterium_nuruki_S6-4,99.1,0.45
ODFM-BA-A-0118-001_Brettanomyces_anomalus_YV396,99.17,0.0
ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44,100.0,0.21
ODFM-BA-A-0127-001_Megasphaera_cerevisiae_NSB1,100.0,1.87
ODFM-BA-A-0128-001_Pectinatus_frisingensis_MB139,99.79,1.27
ODFM-BA-A-0144-001_Penicillium_roqueforti_CECT_2905,100.0,0.0
ODFM-BA-A-0132-001_Pseudomonas_lactis_ITEM_17295,99.8,0.89
ODFM-BA-A-0133-001_Listeria_monocytogenes_N11-2542,99.45,0.0
ODFM-BA-A-0135-001_Lactobacillus_rhamnosus_DPC_7102,99.46,0.0
ODFM-BA-A-0136-001_Staphylococcus_aureus_18SBCL679,99.51,0.11
ODFM-BA-A-0138-001_Hafnia_alvei_B16-3,100.0,0.34
ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101,99.62,0.0
ODFM-BA-A-0141-001_Corynebacterium_flavescens_CCUG_28791T,99.78,0.0
ODFM-BA-A-0142-001_Halomonas_nigrificans_MBT_G8648,99.57,0.93
ODFM-BA-A-0147-001_Streptococcus_thermophilus_C106,99.89,0.15
ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897,100.0,0.19
ODFM-BA-A-0149-001_Enterococcus_malodoratus_DSM_20681,98.94,4.71
ODFM-BA-A-0154-001_Lactobacillus_helveticus_NWC_2_4,98.38,0.0
ODFM-BA-A-0156-001_Mycetocola_reblochoni_JCM_30549,97.05,1.77
ODFM-BA-A-0157-001_Morganella_morganii_FAM24091,100.0,0.0
ODFM-BA-A-0158-001_Glutamicibacter_arilaitensis_JB182,99.74,0.54
ODFM-BA-A-0160-001_Vibrio_casei_JB196,96.01,0.84
ODFM-BA-A-0166-001_Staphylococcus_xylosus_BC10,99.44,1.94
ODFM-BA-A-0167-001_Staphylococcus_succinus_BC15,99.45,0.83
ODFM-BA-A-0172-001_Clostridium_tyrobutyricum_FAM22553,99.49,0.23
ODFM-BA-A-0174-001_Clostridium_botulinum_CDC66089,91.0,1.2
ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38,99.46,0.0
ODFM-BA-A-0009-005_Bacillus_velezensis_YJ11-1-4,99.73,0.12
ODFM-BA-A-0014-003_Alishewanella_jeotgali_KCTC_22429,100.0,0.17
ODFM-BA-A-0033-002_Haladaptatus_cibarius_D43,99.57,0.28
ODFM-BA-A-0034-002_Haloterrigena_jeotgali_A29,99.57,0.0
ODFM-BA-A-0081-002_Halorubrum_halophilum_CBA1147,99.11,0.76
ODFM-BA-A-0107-002_Dietzia_alimentaria_72T,99.41,0.0
ODFM-BA-A-0108-002_Brachybacterium_squillarum_M-6-3T,99.42,0.0
ODFM-BA-A-0109-002_Lentibacillus_jeotgali_GrbiT,100.0,0.33
ODFM-BA-A-0050-001_Hanseniaspora_uvarum_CBA6001,60.87,0.43
ODFM-BA-A-0051-001_Pichia_kluyveri_CBA6002,79.5,11.59
ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003,100.0,0.0
ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072,99.46,0.0
ODFM-BA-A-0067-003_Leuconostoc_mesenteroides_subsp._mesenteroides_CBA3607,100.0,0.0
ODFM-BA-A-0080-002_Microbacterium_sp._CBA3102,98.99,0.51
ODFM-BA-A-0086-005_Weissella_koreensis_CBA3615,96.99,0.0
ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21,99.44,0.84
ODFM-BA-A-0208-003_Brachybacterium_kimchii_CBA3104,98.25,1.17
ODFM-BA-A-0217-003_GCF_025908565.1,98.47,0.0
ODFM-BA-A-0177-001_Lactobacillus_homohiochii_DSM_20571,99.37,0.16
ODFM-BA-A-0180-001_Enterococcus_faecalis_XJ76305,99.63,0.0
MAG_3,72.08,0.38
MAG_8,100.0,0.0
MAG_9,50.27,9.34
MAG_11,50.77,7.76
MAG_45,85.45,0.19
MAG_53,78.89,6.81
MAG_57,60.49,0.44
MAG_62,78.57,6.69
MAG_63,83.56,2.2
MAG_68,93.1,5.32
MAG_97,98.67,1.0
MAG_125,99.62,0.0
MAG_131,83.22,1.63
MAG_139,98.27,9.95
MAG_163,99.45,1.66
MAG_183,95.53,2.68
MAG_186,69.29,4.81
MAG_194,86.98,3.81
MAG_196,100.0,0.22
MAG_588,66.38,0.0
MAG_589,63.21,2.63
MAG_590,50.23,0.0
MAG_591,57.1,8.85
MAG_592,96.68,0.81
MAG_593,96.89,2.21
MAG_594,94.48,2.39
MAG_595,90.63,1.93
MAG_596,53.76,0.0
MAG_597,55.98,7.76
MAG_598,99.55,0.6
MAG_599,98.95,1.93
MAG_600,76.22,1.29
MAG_601,80.81,4.6
MAG_602,82.35,3.5
MAG_603,95.2,0.92
MAG_604,87.9,7.8
MAG_605,93.07,3.87
MAG_606,98.28,4.21
MAG_607,50.86,9.48
MAG_608,95.54,1.67
MAG_609,69.31,0.0
MAG_610,97.14,8.07
MAG_611,75.67,7.45
MAG_612,72.93,2.15
MAG_613,53.14,2.94
MAG_614,60.9,0.61
MAG_615,63.08,0.16
MAG_7,97.68,1.74
MAG_13,60.74,8.69
MAG_14,67.97,1.25
MAG_20,93.48,0.98
MAG_23,78.03,7.97
MAG_29,75.1,0.58
MAG_32,97.21,1.57
MAG_38,97.99,6.4
MAG_42,66.96,7.83
MAG_43,97.91,1.69
MAG_47,80.92,4.43
MAG_50,87.18,2.69
MAG_51,53.73,1.42
MAG_56,74.34,1.82
MAG_61,89.59,1.16
MAG_66,62.69,0.37
MAG_72,100.0,0.52
MAG_73,99.36,0.55
MAG_74,87.16,8.26
MAG_76,97.81,0.73
MAG_78,73.51,5.33
MAG_79,56.97,1.63
MAG_81,59.06,5.91
MAG_82,99.14,0.43
MAG_83,76.76,0.0
MAG_84,99.89,0.8
MAG_85,50.0,0.0
MAG_86,89.15,1.29
MAG_88,57.28,0.34
MAG_89,94.56,1.97
MAG_90,91.88,1.46
MAG_93,97.08,6.35
MAG_101,67.24,0.28
MAG_102,100.0,1.1
MAG_105,70.14,2.37
MAG_106,97.12,1.75
MAG_110,79.33,2.13
MAG_114,59.6,8.4
MAG_117,89.41,6.37
MAG_118,99.12,0.44
MAG_122,98.57,0.04
MAG_124,99.35,0.58
MAG_127,97.87,1.11
MAG_128,64.29,2.05
MAG_130,51.65,8.46
MAG_137,98.02,0.6
MAG_141,56.4,1.6
MAG_145,71.27,10.0
MAG_147,96.18,0.0
MAG_153,59.48,7.68
MAG_155,99.44,1.53
MAG_158,94.29,3.84
MAG_167,93.0,0.87
MAG_169,97.93,0.92
MAG_170,87.85,2.9
MAG_172,87.24,8.85
MAG_174,84.29,2.28
MAG_175,98.95,0.59
MAG_176,97.61,0.71
MAG_180,52.87,6.41
MAG_189,57.47,1.72
MAG_191,68.18,0.29
MAG_309,72.93,1.8
MAG_310,66.81,0.42
MAG_311,58.62,3.45
MAG_312,99.73,0.05
MAG_313,99.44,0.0
MAG_314,83.03,0.02
MAG_315,96.37,0.0
MAG_316,99.18,0.0
MAG_317,98.87,0.6
MAG_318,51.16,1.28
MAG_319,99.44,1.94
MAG_320,100.0,0.0
MAG_321,99.73,0.62
MAG_322,98.84,3.49
MAG_323,99.74,0.0
MAG_324,88.01,0.0
MAG_325,94.74,0.0
MAG_375,100.0,0.0
MAG_376,76.02,7.91
MAG_377,56.78,9.48
MAG_378,62.81,4.95
MAG_379,74.14,1.72
MAG_380,99.25,0.94
MAG_381,62.64,3.45
MAG_382,60.06,1.72
MAG_383,96.78,0.55
MAG_384,80.68,5.34
MAG_385,96.99,0.55
MAG_386,100.0,0.28
MAG_387,98.66,3.09
MAG_388,90.1,1.9
MAG_389,73.71,8.29
MAG_390,85.65,3.05
MAG_391,57.47,0.0
MAG_392,99.6,0.15
MAG_393,68.1,5.17
MAG_394,51.72,6.03
MAG_395,100.0,0.0
MAG_396,67.82,1.72
MAG_397,53.33,1.4
MAG_398,53.17,1.78
MAG_399,62.17,3.74
MAG_400,91.12,3.27
MAG_401,79.92,2.18
MAG_402,51.39,9.76
MAG_403,98.96,1.51
MAG_404,68.14,6.32
MAG_405,96.76,1.58
MAG_406,100.0,0.51
MAG_407,66.17,4.18
MAG_408,60.4,9.48
MAG_409,51.02,7.76
MAG_410,51.72,6.9
MAG_411,93.92,1.45
MAG_412,63.71,9.05
MAG_413,71.55,0.0
MAG_414,95.15,0.65
MAG_415,57.2,0.75
MAG_416,61.19,6.92
MAG_417,58.71,0.0
MAG_418,63.28,8.62
MAG_419,94.03,0.44
MAG_420,63.79,0.0
MAG_421,99.38,2.78
MAG_422,77.78,1.36
MAG_423,91.94,1.13
MAG_424,81.03,5.17
MAG_425,93.78,1.11
MAG_426,99.6,0.34
MAG_427,94.83,8.31
MAG_428,91.53,1.12
MAG_429,50.21,2.53
MAG_430,98.21,0.62
MAG_431,99.13,0.58
MAG_432,98.84,1.94
MAG_433,50.03,8.69
MAG_434,99.14,0.86
MAG_435,99.86,1.29
MAG_436,96.53,0.0
MAG_437,93.76,0.23
MAG_438,100.0,0.51
MAG_439,89.79,5.99
MAG_440,97.27,0.79
MAG_441,88.44,1.34
MAG_442,70.63,0.19
MAG_443,55.81,9.22
MAG_444,50.86,4.31
MAG_445,96.96,1.66
MAG_446,100.0,4.96
MAG_447,80.08,7.49
MAG_448,80.12,3.49
MAG_449,98.26,0.58
MAG_450,88.22,8.47
MAG_451,54.8,1.72
MAG_452,56.9,1.72
MAG_453,80.74,4.46
MAG_454,96.23,1.25
MAG_455,96.44,1.63
MAG_456,90.03,6.9
MAG_457,96.51,0.0
MAG_458,59.31,9.48
MAG_459,67.3,9.45
MAG_460,96.2,0.0
MAG_461,54.26,7.13
MAG_462,96.71,0.0
MAG_463,90.47,5.51
MAG_464,66.23,2.6
MAG_465,51.72,5.17
MAG_466,94.6,0.65
MAG_467,92.8,1.06
MAG_468,85.93,0.85
MAG_469,98.79,0.0
MAG_553,94.43,3.2
MAG_554,93.35,1.87
MAG_555,82.89,2.59
MAG_556,100.0,1.32
MAG_557,85.81,2.47
MAG_558,96.66,1.69
MAG_559,93.23,0.36
MAG_560,92.15,2.01
MAG_561,86.6,0.0
MAG_562,82.54,0.19
MAG_563,87.92,1.02
MAG_564,81.81,1.08
MAG_565,74.43,5.71
MAG_566,72.55,6.03
MAG_618,98.27,1.18
MAG_619,98.55,0.58
MAG_620,99.42,1.26
MAG_621,96.8,0.58
MAG_622,97.58,0.51
MAG_623,87.03,4.99
MAG_624,94.64,2.91
MAG_625,98.31,0.45
MAG_626,92.7,0.55
MAG_627,93.51,0.94
MAG_628,97.09,0.29
MAG_629,96.59,1.38
MAG_630,98.58,0.0
MAG_631,89.2,1.79
MAG_632,93.17,0.88
MAG_633,82.66,1.53
MAG_634,99.92,0.67
MAG_635,93.9,1.16
MAG_636,87.72,2.83
MAG_637,80.32,4.36
MAG_638,95.71,3.04
MAG_639,93.68,0.54
MAG_640,86.23,1.16
MAG_641,98.06,0.51
MAG_642,99.14,0.86
MAG_643,97.47,1.04
MAG_644,90.15,1.65
MAG_645,94.19,0.0
MAG_646,85.25,0.64
MAG_647,82.3,1.44
MAG_648,92.27,0.58
MAG_649,98.54,0.58
MAG_650,80.5,1.08
MAG_651,99.23,0.53
MAG_652,91.23,1.75
MAG_653,95.28,4.17
MAG_40,98.86,0.51
MAG_65,89.24,3.4
MAG_71,86.38,0.24
MAG_573,81.5,0.79
MAG_574,61.39,1.34
MAG_575,95.13,0.64
MAG_576,97.62,5.32
MAG_577,72.72,3.93
MAG_578,94.31,3.51
MAG_579,78.54,8.62
MAG_580,99.03,2.89
MAG_12,75.44,0.86
MAG_26,98.09,1.79
MAG_30,54.4,5.5
