representative_95id,domain,phylum,class,order,family,genus,species
AlvarezOrdonezA_xxxx__C07-19__bin.10,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium testudinoris
AlvarezOrdonezA_xxxx__C07-19__bin.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter pasteurii
AlvarezOrdonezA_xxxx__F01-19__bin.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Dellaglioa,Dellaglioa algida
AlvarezOrdonezA_xxxx__F02-18__bin.10,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Dellaglioa,
AlvarezOrdonezA_xxxx__F03-18__bin.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus cerevisiae
AlvarezOrdonezA_xxxx__F03-18__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus fuchuensis
AlvarezOrdonezA_xxxx__Q01-22__bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Aidingimonas,Aidingimonas lacisalsi
AlvarezOrdonezA_xxxx__Q01-29__bin.6,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Brevibacteriaceae,Brevibacterium,
AlvarezOrdonezA_xxxx__Q01-30__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris
AlvarezOrdonezA_xxxx__Q02-23__bin.9,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium lacticum
AlvarezOrdonezA_xxxx__Q02-27__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,Buttiauxella agrestis
AlvarezOrdonezA_xxxx__Q02-30__bin.22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella ornithinolytica
AlvarezOrdonezA_xxxx__Q03-21__bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,Buttiauxella massiliensis
AlvarezOrdonezA_xxxx__Q03-30__bin.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermabacteraceae,Brachybacterium,
AlvarezOrdonezA_xxxx__Q03-30__bin.5,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Brevibacteriaceae,Brevibacterium,
AlvarezOrdonezA_xxxx__Q04-21__bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,Lelliottia sp022649305
AlvarezOrdonezA_xxxx__Q04-21__bin.16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Rahnella,Rahnella inusitata
AlvarezOrdonezA_xxxx__Q04-26__bin.13,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E haemolytica
AlvarezOrdonezA_xxxx__Q05-22__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Vreelandella,
AlvarezOrdonezA_xxxx__Q05-22__bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Idiomarina,
AlvarezOrdonezA_xxxx__Q05-22__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus halophilus
AlvarezOrdonezA_xxxx__Q05-22__bin.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,Chromohalobacter beijerinckii
AlvarezOrdonezA_xxxx__Q05-26__bin.2,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus rostri
AlvarezOrdonezA_xxxx__Q06-22__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Vreelandella,Vreelandella sp963975065
AlvarezOrdonezA_xxxx__Q06-22__bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,Chromohalobacter canadensis
AlvarezOrdonezA_xxxx__Q06-22__bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Salinicola,Salinicola halophyticus
AlvarezOrdonezA_xxxx__Q06-25__bin.5,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
AlvarezOrdonezA_xxxx__Q06-29__bin.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter piscatorii
AlvarezOrdonezA_xxxx__Q07-22__bin.15,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Halospina,Halospina utahensis B
AlvarezOrdonezA_xxxx__Q07-22__bin.18,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Nesterenkonia,
AlvarezOrdonezA_xxxx__Q07-22__bin.19,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia koreensis
AlvarezOrdonezA_xxxx__Q07-22__bin.21,Bacteria,Bacillota,Bacilli,Bacillales_H,Marinococcaceae,Marinococcus,
AlvarezOrdonezA_xxxx__Q07-29__bin.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,Janibacter,
AlvarezOrdonezA_xxxx__Q07-29__bin.11,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Williamsia,
AlvarezOrdonezA_xxxx__Q07-29__bin.13,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Murinocardiopsis,
AlvarezOrdonezA_xxxx__Q07-30__bin.12,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,Demetria,
AlvarezOrdonezA_xxxx__Q07-30__bin.14,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,
AlvarezOrdonezA_xxxx__Q07-30__bin.31,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Williamsia,
AlvarezOrdonezA_xxxx__Q08-22__bin.21,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Vreelandella,Vreelandella salicampi
AlvarezOrdonezA_xxxx__Q08-22__bin.23,Bacteria,Bacillota,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,
AlvarezOrdonezA_xxxx__Q08-22__bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Celerinatantimonadaceae,Celerinatantimonas,
AlvarezOrdonezA_xxxx__R01-19__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Aeromonas bestiarum
AlvarezOrdonezA_xxxx__R01-19__bin.3,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes
AlvarezOrdonezA_xxxx__R03-19__bin.21,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,
AlvarezOrdonezA_xxxx__R03-19__bin.22,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter submarinus
AlvarezOrdonezA_xxxx__R03-19__bin.7,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium xerosis
AlvarezOrdonezA_xxxx__R04-18__bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter harbinensis
ArikanM_2020__ERS1939580__bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter xylinus C
ArikanM_2020__ERS1939593__bin.5,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Novacetimonas,Novacetimonas entanii
ArikanM_2020__ERS1939655__bin.10,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,JANWVO01,JANWVO01 sp026002855
ArikanM_2020__ERS1939655__bin.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Caldimonas,Caldimonas aquatica
BertuzziAS_2018__ERS2032125__bin.2,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium linens
BertuzziAS_2018__ERS2032127__bin.3,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium casei
C-03.Ssa-BR,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp003521145
C-R02.bin.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Galactobacter,Galactobacter sp022712295
C-R03.bin.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Bavariicoccus,Bavariicoccus seileri
C-R06.bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Proteus,Proteus vulgaris
C-R06.bin.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Providencia,Providencia xianensis
C-R09.bin.5,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici
C-R13.bin.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,
C-R14.bin.10,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium sp021023135
CM_INJERA__injera_E2__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,
CM_UNINA_FFOOD__FFOOD_226__bin.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus B hirae
CM_UNINA_FFOOD__FFOOD_227__bin.5,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium casei
CM_UNINA_FFOOD__FFOOD_229__bin.10,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc carnosum
CM_UNINA_FFOOD__FFOOD_245__bin.2,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc lactis
CM_UNINA_FFOOD__FFOOD_251__bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Aeromonas caviae
CM_UNINA_FFOOD__FFOOD_254__bin.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,Marinomonas spartinae A
CM_UNINA_FFOOD__FFOOD_256__bin.2,Bacteria,Bacillota,Bacilli,Exiguobacteriales,Exiguobacteriaceae,Exiguobacterium_A,Exiguobacterium A acetylicum
CM_UNINA_FFOOD__FFOOD_260__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
CM_UNINA_FFOOD__FFOOD_266__bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E simiae
CM_UNINA_FFOOD__FFOOD_270__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis AA
CM_UNINA_FFOOD__FFOOD_277__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E palmensis
CM_UNINA_FFOOD__FFOOD_277__bin.14,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E sp002874965
CM_UNINA_FFOOD__FFOOD_281__bin.3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium carnipullorum
CM_UNINA_FFOOD__FFOOD_282__bin.13,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus devriesei
CM_UNINA_FFOOD__FFOOD_286__bin.4,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Rothia,Rothia kristinae
CM_UNINA_FFOOD__FFOOD_289__bin.18,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus agnetis
CM_UNINA_FFOOD__FFOOD_289__bin.32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,Lelliottia nimipressuralis
CM_UNINA_FFOOD__FFOOD_290__bin.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Bombiscardovia,Bombiscardovia crudilactis
CM_UNINA_FFOOD__FFOOD_290__bin.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus sucicola
CM_UNINA_FFOOD__FFOOD_296__bin.3,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium mongoliense
CM_UNINA_FFOOD__FFOOD_312__bin.3,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas diminuta
CM_UNINA_FFOOD__FFOOD_313__bin.4,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Kribbellaceae,Kribbella,Kribbella sindirgiensis
CM_UNINA_FFOOD__FFOOD_319__bin.7,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Pseudogracilibacillus,Pseudogracilibacillus sp035301645
CM_UNINA_FFOOD__FFOOD_326__bin.13,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Luteococcus,Luteococcus japonicus
CM_UNINA_FFOOD__FFOOD_329__bin.15,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp900163865
CM_UNINA_FFOOD__FFOOD_337__bin.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus
CM_UNINA_FFOOD__FFOOD_363__bin.10,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus fungorum
CM_UNINA_FFOOD__FFOOD_385__bin.9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella haifensis
CM_UNINA_FFOOD__FFOOD_397__bin.5,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium_B,Clostridium B sp003497125
CM_UNINA_FFOOD__FFOOD_405__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia A
CM_UNINA_FFOOD__FFOOD_408__bin.5,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
CM_UNINA_FFOOD__FFOOD_415__bin.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Yaniella,
CM_UNINA_FFOOD__FFOOD_415__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus casei
CM_UNINA_FFOOD__FFOOD_418__bin.8,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus petauri
CM_UNINA_FFOOD__FFOOD_421__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus zeae
CM_UNINA_FFOOD__FFOOD_424__bin.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus vaginalis
CM_UNINA_FFOOD__FFOOD_425__bin.9,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici
ChaconVargasK_2020__SRS6087088__bin.11,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,
ChaconVargasK_2020__SRS6087088__bin.16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Rahnella,
ChaconVargasK_2020__SRS6087090__bin.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,
ChaconVargasK_2020__SRS6087091__bin.16,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,
ChaconVargasK_2020__SRS6087091__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp002418055
ChaconVargasK_2020__SRS6087094__bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
ChaconVargasK_2020__SRS6087094__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A,
ChaconVargasK_2020__SRS6087094__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A,
DeFilippisF_xxxx__DF_100__bin.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Specibacter,
DeFilippisF_xxxx__DF_100__bin.11,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A,Lactococcus A carnosus
DeFilippisF_xxxx__DF_100__bin.12,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium_A,
DeFilippisF_xxxx__DF_100__bin.17,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,Marinilactibacillus psychrotolerans
DeFilippisF_xxxx__DF_104__bin.11,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium_B,Clostridium B tyrobutyricum A
DeFilippisF_xxxx__DF_104__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macedonicus
DeFilippisF_xxxx__DF_114__bin.22,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Glutamicibacter,Glutamicibacter bergerei
DeFilippisF_xxxx__DF_115__bin.29,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis BG
DeFilippisF_xxxx__DF_118__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,
DeFilippisF_xxxx__DF_11__bin.15,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Paraoerskovia,
DeFilippisF_xxxx__DF_11__bin.19,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,Marinilactibacillus psychrotolerans
DeFilippisF_xxxx__DF_11__bin.27,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Cobetia,Cobetia crustatorum
DeFilippisF_xxxx__DF_16__bin.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E iridis
DeFilippisF_xxxx__DF_28__bin.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E proteolytica
DeFilippisF_xxxx__DF_30__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus buchneri
DeFilippisF_xxxx__DF_41__bin.12,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus excrementavium
DeFilippisF_xxxx__DF_42__bin.14,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Phyllobacterium,Phyllobacterium calauticae
DeFilippisF_xxxx__DF_4__bin.22,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermabacteraceae,Brachybacterium,
DeFilippisF_xxxx__DF_58__bin.5,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Thermus,Thermus parvatiensis
DeFilippisF_xxxx__DF_59__bin.12,Bacteria,Bacillota,Clostridia,Tissierellales,Peptoniphilaceae,Anaerosphaera,Anaerosphaera sp946403255
DeFilippisF_xxxx__DF_59__bin.13,Bacteria,Bacillota,Bacilli,Lactobacillales,Vagococcaceae,,
DeFilippisF_xxxx__DF_59__bin.18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Morganella,Morganella psychrotolerans B
DeFilippisF_xxxx__DF_5__bin.15,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus rennini
DeFilippisF_xxxx__DF_5__bin.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,
DeFilippisF_xxxx__DF_61__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus dabitei
DeFilippisF_xxxx__DF_79__bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter kobei
DeFilippisF_xxxx__DF_7__bin.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
DeFilippisF_xxxx__DF_7__bin.8,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillus wasatchensis
DeFilippisF_xxxx__DF_96__bin.12,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus paragasseri
DeFilippisF_xxxx__DF_96__bin.15,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parafarraginis
DeFilippisF_xxxx__DF_9__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella_A,Moraxella A sp902506215
DeFilippisF_xxxx__DS_106__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus formosensis
DeFilippisF_xxxx__DS_111__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E juntendi
DeFilippisF_xxxx__DS_111__bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter fasciculus
DeFilippisF_xxxx__DS_111__bin.14,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,
DeFilippisF_xxxx__DS_112__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia Q
DeFilippisF_xxxx__DS_112__bin.19,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas nematodicola
DeFilippisF_xxxx__DS_112__bin.21,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E chengduensis A
DeFilippisF_xxxx__DS_13__bin.14,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus shinii
DeFilippisF_xxxx__DS_1__bin.17,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus halodurans
DeFilippisF_xxxx__DS_2__bin.17,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
DeFilippisF_xxxx__DS_2__bin.27,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus koreensis
DeFilippisF_xxxx__DS_55__bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Psychromonadaceae,Psychromonas,
DeFilippisF_xxxx__DS_64__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus zhachilii
DeFilippisF_xxxx__DS_68__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,
DeFilippisF_xxxx__DS_69__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus nodensis
DeFilippisF_xxxx__DS_69__bin.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,
DeFilippisF_xxxx__DS_90__bin.4,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium sandarakinum A
DeRoosJ_2020__B13M__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus damnosus
DeRoosJ_2020__B9M__bin.4,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter ascendens
