mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	study_catalog	source	dataset_name	sample_id_x	split	run_accession	sample_id_y	country	project_accession	sample_accession	Center Name	study_accession
MAG_97	bean paste	bean_paste	soybean	legume	fermented_soybean	98.67	1.0	35	4133280	44.71	212762	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_D	Bacillus_H	Bacillus_H rhizosphaerae	Du2023		MAG_97		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_125	bean paste	bean_paste	soybean	legume	fermented_soybean	99.62	0.0	68	2648190	38.3	84448	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium_B	Du2023		MAG_125		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_131	bean paste	bean_paste	soybean	legume	fermented_soybean	83.22	1.63	466	4852161	35.46	14637	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_C	Bacillus_U	Bacillus_U oleronius	Du2023		MAG_131		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_139	bean paste	bean_paste	soybean	legume	fermented_soybean	98.27	9.95	125	4752767	45.47	109597	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	Du2023		MAG_139		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_163	bean paste	bean_paste	soybean	legume	fermented_soybean	99.45	1.66	47	2884118	32.84	146122	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus nepalensis	Du2023		MAG_163		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_183	bean paste	bean_paste	soybean	legume	fermented_soybean	95.53	2.68	667	4510868	55.62	9288	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	Leclercia adecarboxylata	Du2023		MAG_183		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_186	bean paste	bean_paste	soybean	legume	fermented_soybean	69.29	4.81	715	3507761	35.08	5561	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_C	Bacillus_U	Bacillus_U oleronius	Du2023		MAG_186		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_194	bean paste	bean_paste	soybean	legume	fermented_soybean	86.98	3.81	281	2261211	37.79	10055	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Rummeliibacillus	Rummeliibacillus stabekisii	Du2023		MAG_194		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_196	bean paste	bean_paste	soybean	legume	fermented_soybean	100.0	0.22	30	3801552	42.85	217210	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unknown145	Du2023		MAG_196		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_588	bean paste	bean_paste	soybean	legume	fermented_soybean	66.38	0.0	260	2895999	31.88	17539	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	Vagococcus fluvialis	Du2023		MAG_588		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_589	bean paste	bean_paste	soybean	legume	fermented_soybean	63.21	2.63	564	1945943	34.09	3761	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes	unknown156	Du2023		MAG_589		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_590	bean paste	bean_paste	soybean	legume	fermented_soybean	50.23	0.0	87	1063947	34.43	22084	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	unknown160	Du2023		MAG_590		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_591	bean paste	bean_paste	soybean	legume	fermented_soybean	57.1	8.85	180	1064230	34.4	6634	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	unknown159	Du2023		MAG_591		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_592	bean paste	bean_paste	soybean	legume	fermented_soybean	96.68	0.81	199	3599997	44.11	32618	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Du2023		MAG_592		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_593	bean paste	bean_paste	soybean	legume	fermented_soybean	96.89	2.21	50	2898324	31.78	128860	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus_A	Staphylococcus_A lentus	Du2023		MAG_593		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_594	bean paste	bean_paste	soybean	legume	fermented_soybean	94.48	2.39	100	2589850	32.42	42529	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus_A	Staphylococcus_A sciuri	Du2023		MAG_594		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_595	bean paste	bean_paste	soybean	legume	fermented_soybean	90.63	1.93	253	2582832	33.38	17184	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	unknown152	Du2023		MAG_595		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_596	bean paste	bean_paste	soybean	legume	fermented_soybean	53.76	0.0	244	2403481	32.16	13113	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	Vagococcus fluvialis	Du2023		MAG_596		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_597	bean paste	bean_paste	soybean	legume	fermented_soybean	55.98	7.76	305	1198366	38.46	4393	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_I	Enterococcus_I aquimarinus	Du2023		MAG_597		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_598	bean paste	bean_paste	soybean	legume	fermented_soybean	99.55	0.6	120	2770992	37.56	42213	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Du2023		MAG_598		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
