Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	isol_growth_condt	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	num_replicons	Organism	Platform	ref_biomaterial	ReleaseDate	create_date	version	Sample Name	SRA Study	strain	Cheese	batch	Depth	elev	week
SRR19240245; SRR19240246	WGS	300; 5886	865814100; 1194238663	PRJNA838104	SAMN28404982	MIGS.ba	408582509; 1069924971	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,run.zq,sra; sra,fastq	ncbi,s3,gs; gs,ncbi,s3	gs.us-east1,s3.us-east-1,ncbi.public; ncbi.public,gs.us-east1,s3.us-east-1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15301028; SRX15301027	USA	North America	USA	Illumina HiSeq 4000; MinION	CCS180 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS180_HiSeq4000; CCS180_MinION	PAIRED; SINGLE	RANDOM	GENOMIC	n.a.	Psychrobacter sp. CCS180	ILLUMINA; OXFORD_NANOPORE	n.a.	2022-11-01T00:00:00Z	2022-05-17T07:42:00Z; 2022-05-17T07:45:00Z	1	CCS180	SRP375590	CCS180	cheese_B				
SRR19240303	WGS	300	789764400	PRJNA838092	SAMN28404912	MIGS.ba	376068475	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,sra,run.zq	ncbi,gs,s3	gs.us-east1,ncbi.public,s3.us-east-1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15301085	USA	North America	USA	Illumina HiSeq 4000	CCS175 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS175_HiSeq4000	PAIRED	RANDOM	GENOMIC	n.a.	Psychrobacter sp. CCS175	ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-17T08:04:00Z	1	CCS175	SRP375597	CCS175	cheese_B				
SRR19236887; SRR19236888	WGS	9503; 300	519463050; 875304600	PRJNA838105	SAMN28404981	MIGS.ba	457561510; 408408946	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	sra,fastq; sra,run.zq,fastq	ncbi,gs,s3; s3,ncbi,gs	gs.us-east1,ncbi.public,s3.us-east-1; s3.us-east-1,gs.us-east1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15297669; SRX15297668	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS179 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS179_MinION; CCS179_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Psychrobacter immobilis	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:29:00Z; 2022-05-16T18:24:00Z	1	CCS179	SRP375510	CCS179	cheese_B				
SRR19236804; SRR19236805	WGS	12734; 300	88428573; 697548600	PRJNA837776	SAMN28230850	MIGS.ba	78166994; 336561572	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,sra; run.zq,sra,fastq	gs,ncbi,s3; s3,gs,ncbi	s3.us-east-1,gs.us-east1,ncbi.public; ncbi.public,s3.us-east-1,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15297586; SRX15297585	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS164 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS164_MinION; CCS164_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Psychrobacter alimentarius	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:22:00Z	1	CCS164	SRP375501	CCS164	cheese_B				
SRR19236885; SRR19236886	WGS	4955; 300	598601405; 839253900	PRJNA838093	SAMN28404913	MIGS.ba	515484009; 391768040	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	sra,fastq; run.zq,fastq,sra	gs,ncbi,s3; gs,s3,ncbi	gs.us-east1,ncbi.public,s3.us-east-1; ncbi.public,s3.us-east-1,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15297667; SRX15297666	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS176 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS176_MinION; CCS176_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Pseudoalteromonas nigrifaciens	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:25:00Z; 2022-05-16T18:24:00Z	1	CCS176	SRP375509	CCS176	cheese_B				
SRR19240306; SRR19240307	WGS	5606; 300	1270904742; 932733600	PRJNA838102	SAMN28404983	MIGS.ba	1139715534; 436798278	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	sra,fastq; fastq,run.zq,sra	s3,ncbi,gs; gs,s3,ncbi	gs.us-east1,s3.us-east-1,ncbi.public; ncbi.public,s3.us-east-1,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15301089; SRX15301088	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS181 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS181_MinION; CCS181_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Psychrobacter sp. CCS181	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-17T08:07:00Z; 2022-05-17T08:04:00Z	1	CCS181	SRP375599	CCS181	cheese_B				
SRR16955650	AMPLICON	302	15392034	PRJNA778418	SAMN23169395	MIMS.me,MIGS/MIMS/MIMARKS.microbial	4849268	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-02-25	public	fastq,run.zq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147294	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	O_2_4_CheeseA_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	O_2_4_CheeseA	SRP346349		cheese_A	2.0	na	193.0	4.0
SRR16955651	AMPLICON	302	16215286	PRJNA778418	SAMN23169394	MIMS.me,MIGS/MIMS/MIMARKS.microbial	5116627	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-02-20	public	run.zq,sra,fastq	gs,ncbi,s3	s3.us-east-1,gs.us-east1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147293	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	O_2_3_CheeseA_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	O_2_3_CheeseA	SRP346349		cheese_A	2.0	na	193.0	3.0
SRR16955652	AMPLICON	302	13833110	PRJNA778418	SAMN23169393	MIMS.me,MIGS/MIMS/MIMARKS.microbial	4415499	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-02-11	public	fastq,run.zq,sra	ncbi,s3,gs	gs.us-east1,ncbi.public,s3.us-east-1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147292	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	O_2_2_CheeseA_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	O_2_2_CheeseA	SRP346349		cheese_A	2.0	na	193.0	2.0
SRR16955653	AMPLICON	302	15773460	PRJNA778418	SAMN23169392	MIMS.me,MIGS/MIMS/MIMARKS.microbial	5019625	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-02-04	public	fastq,sra,run.zq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147291	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	O_2_1_CheeseA_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	O_2_1_CheeseA	SRP346349		cheese_A	2.0	na	193.0	1.0
SRR16955654	AMPLICON	302	11930812	PRJNA778418	SAMN23169439	MIMS.me,MIGS/MIMS/MIMARKS.microbial	3850589	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-05-05	public	run.zq,fastq,sra	ncbi,gs,s3	s3.us-east-1,gs.us-east1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147290	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	We_3_6_CheeseC_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	We_3_6_CheeseC	SRP346349		cheese_C	3.0	na	193.0	13.0
SRR16955655	AMPLICON	302	13222466	PRJNA778418	SAMN23169438	MIMS.me,MIGS/MIMS/MIMARKS.microbial	4319196	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-04-07	public	run.zq,fastq,sra	ncbi,gs,s3	gs.us-east1,s3.us-east-1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147289	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	We_3_5_CheeseC_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	We_3_5_CheeseC	SRP346349		cheese_C	3.0	na	193.0	9.0
SRR16955656	AMPLICON	302	13687546	PRJNA778418	SAMN23169437	MIMS.me,MIGS/MIMS/MIMARKS.microbial	4414183	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-03-03	public	sra,fastq,run.zq	ncbi,gs,s3	s3.us-east-1,gs.us-east1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147288	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	We_3_4_CheeseC_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	We_3_4_CheeseC	SRP346349		cheese_C	3.0	na	193.0	4.0
SRR16955657	AMPLICON	302	13520238	PRJNA778418	SAMN23169436	MIMS.me,MIGS/MIMS/MIMARKS.microbial	4354051	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-02-25	public	run.zq,sra,fastq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147287	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	We_3_3_CheeseC_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:39:00Z	1	We_3_3_CheeseC	SRP346349		cheese_C	3.0	na	193.0	3.0
SRR16955658	AMPLICON	302	12732018	PRJNA778418	SAMN23169391	MIMS.me,MIGS/MIMS/MIMARKS.microbial	4081579	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-04-21	public	fastq,sra,run.zq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147286	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	O_1_6_CheeseA_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	O_1_6_CheeseA	SRP346349		cheese_A	1.0	na	193.0	13.0
SRR16955659	AMPLICON	302	13986828	PRJNA778418	SAMN23169435	MIMS.me,MIGS/MIMS/MIMARKS.microbial	4494298	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-02-20	public	run.zq,sra,fastq	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147285	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	We_3_2_CheeseC_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:35:00Z	1	We_3_2_CheeseC	SRP346349		cheese_C	3.0	na	193.0	2.0
SRR16955660	AMPLICON	302	16284444	PRJNA778418	SAMN23169434	MIMS.me,MIGS/MIMS/MIMARKS.microbial	5179462	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-02-11	public	sra,fastq,run.zq	ncbi,s3,gs	ncbi.public,gs.us-east1,s3.us-east-1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147284	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	We_3_1_CheeseC_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:39:00Z	1	We_3_1_CheeseC	SRP346349		cheese_C	3.0	na	193.0	1.0
SRR16955661	AMPLICON	302	14060516	PRJNA778418	SAMN23169433	MIMS.me,MIGS/MIMS/MIMARKS.microbial	4571911	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-04-28	public	sra,fastq,run.zq	gs,s3,ncbi	gs.us-east1,s3.us-east-1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX13147283	USA	North America	USA	Illumina iSeq 100		44.587655 N 72.268324 W	We_2_6_CheeseC_16S_Amplicon	PAIRED	PCR	METAGENOMIC		food fermentation metagenome	ILLUMINA		2022-11-01T00:00:00Z	2021-11-16T10:40:00Z	1	We_2_6_CheeseC	SRP346349		cheese_C	2.0	na	193.0	13.0
