Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,grain.base.bleached.wheat,grain.base.rye,grain.base.unbleached,grain.base.whole.wheat,host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample.identifier.original,Sample Name,Seasnlty,SRA Study,temp
SRR10450306,AMPLICON,302,7162534,PRJNA589612,SAMN13285022,Metagenome or environmental,4979950,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145159,USA,North America,USA,0,1,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_148,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,148,S_148,8534,SRP230115,129
SRR10450307,AMPLICON,302,4638418,PRJNA589612,SAMN13285462,Metagenome or environmental,3281548,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145158,USA,North America,USA,0,0,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_9,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,9,S_9,3185,SRP230115,170
SRR10450308,AMPLICON,302,6593264,PRJNA589612,SAMN13285461,Metagenome or environmental,4557204,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145157,USA,North America,USA,1,1,0,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_89,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,89,S_89,9219,SRP230115,76
SRR10450309,AMPLICON,302,9852146,PRJNA589612,SAMN13285460,Metagenome or environmental,6833096,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145156,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_88,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,88,S_88,7616,SRP230115,150
SRR10450310,AMPLICON,302,5916180,PRJNA589612,SAMN13285459,Metagenome or environmental,4067716,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145155,USA,North America,USA,NA,NA,NA,NA,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_87,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,87,S_87,11493,SRP230115,73
SRR10450311,AMPLICON,302,3456994,PRJNA589612,SAMN13285458,Metagenome or environmental,2389506,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145154,USA,North America,USA,0,0,0,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_86,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,86,S_86,10178,SRP230115,58
SRR10450312,AMPLICON,302,6682052,PRJNA589612,SAMN13285457,Metagenome or environmental,4606681,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145153,USA,North America,USA,0,1,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_85,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,85,S_85,10560,SRP230115,102
SRR10450313,AMPLICON,302,5958158,PRJNA589612,SAMN13285456,Metagenome or environmental,4163111,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145152,USA,North America,USA,0,1,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_84,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,84,S_84,1273,SRP230115,142
SRR10450314,AMPLICON,302,13212802,PRJNA589612,SAMN13285455,Metagenome or environmental,9166650,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145151,USA,North America,USA,1,0,0,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_83,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,83,S_83,6986,SRP230115,180
SRR10450315,AMPLICON,302,10197936,PRJNA589612,SAMN13285454,Metagenome or environmental,7040738,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145150,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_82,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,82,S_82,9315,SRP230115,99
SRR10450316,AMPLICON,302,4113240,PRJNA589612,SAMN13285389,Metagenome or environmental,2873107,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145149,USA,North America,USA,1,0,0,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_524,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,524,S_524,8796,SRP230115,21
SRR10450317,AMPLICON,302,4761936,PRJNA589612,SAMN13285388,Metagenome or environmental,3326488,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145148,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_523,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,523,S_523,8086,SRP230115,124
SRR10450318,AMPLICON,302,5049742,PRJNA589612,SAMN13285387,Metagenome or environmental,3475992,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145147,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_522,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,522,S_522,7564,SRP230115,149
SRR10450319,AMPLICON,302,5781488,PRJNA589612,SAMN13285386,Metagenome or environmental,4014333,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145146,New Zealand,Oceania,New Zealand,1,1,0,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_521,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,521,S_521,3333,SRP230115,120
SRR10450320,AMPLICON,302,4067034,PRJNA589612,SAMN13285385,Metagenome or environmental,2833584,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145145,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_520,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,520,S_520,11019,SRP230115,56
SRR10450321,AMPLICON,302,8387446,PRJNA589612,SAMN13285384,Metagenome or environmental,5820501,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145144,USA,North America,USA,1,0,0,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_52,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,52,S_52,8534,SRP230115,129
SRR10450322,AMPLICON,302,4072168,PRJNA589612,SAMN13285383,Metagenome or environmental,2834760,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145143,USA,North America,USA,0,0,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_519,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,519,S_519,4857,SRP230115,108
SRR10450323,AMPLICON,302,5096250,PRJNA589612,SAMN13285014,Metagenome or environmental,3554058,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145142,USA,North America,USA,0,0,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_140,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,140,S_140,3722,SRP230115,139
SRR10450324,AMPLICON,302,5381640,PRJNA589612,SAMN13285382,Metagenome or environmental,3737356,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145141,Canada,North America,Canada,0,0,0,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_518,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,518,S_518,5175,SRP230115,99
SRR10450325,AMPLICON,302,4010560,PRJNA589612,SAMN13285381,Metagenome or environmental,2862921,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145140,Canada,North America,Canada,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_517,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,517,S_517,5175,SRP230115,99
SRR10450326,AMPLICON,302,5085982,PRJNA589612,SAMN13285380,Metagenome or environmental,3592681,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145139,USA,North America,USA,0,1,0,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_516,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,516,S_516,10170,SRP230115,80
SRR10450327,AMPLICON,302,5679714,PRJNA589612,SAMN13285379,Metagenome or environmental,3927433,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145138,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_515,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,515,S_515,8698,SRP230115,120
SRR10450328,AMPLICON,302,6791074,PRJNA589612,SAMN13285378,Metagenome or environmental,4728446,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145137,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_514,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,514,S_514,9630,SRP230115,96
SRR10450329,AMPLICON,302,3143518,PRJNA589612,SAMN13285377,Metagenome or environmental,2226688,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145136,USA,North America,USA,0,1,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_512,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,512,S_512,9006,SRP230115,97
SRR10450330,AMPLICON,302,4685228,PRJNA589612,SAMN13285376,Metagenome or environmental,3281661,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145135,USA,North America,USA,1,0,0,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_511,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,511,S_511,7152,SRP230115,164
SRR10450331,AMPLICON,302,4135588,PRJNA589612,SAMN13285375,Metagenome or environmental,2924426,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145134,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_510,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,510,S_510,8166,SRP230115,98
SRR10450332,AMPLICON,302,7607078,PRJNA589612,SAMN13285374,Metagenome or environmental,5255848,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145133,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_51,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,51,S_51,8534,SRP230115,129
SRR10450333,AMPLICON,302,4415542,PRJNA589612,SAMN13285373,Metagenome or environmental,3117786,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145132,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_509,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,509,S_509,7014,SRP230115,121
SRR10450334,AMPLICON,302,9193484,PRJNA589612,SAMN13285013,Metagenome or environmental,6414648,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145131,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_14,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,14,S_14,9209,SRP230115,79
SRR10450335,AMPLICON,302,3767148,PRJNA589612,SAMN13284977,Metagenome or environmental,2637201,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145130,USA,North America,USA,0,1,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_102,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,102,S_102,7258,SRP230115,154
SRR10450336,AMPLICON,302,4877300,PRJNA589612,SAMN13285372,Metagenome or environmental,3425812,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145129,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_508,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,508,S_508,4561,SRP230115,222
SRR10450337,AMPLICON,302,2914602,PRJNA589612,SAMN13285371,Metagenome or environmental,2057729,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145128,USA,North America,USA,NA,NA,NA,NA,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_507,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,507,S_507,8534,SRP230115,129
SRR10450338,AMPLICON,302,4808142,PRJNA589612,SAMN13285370,Metagenome or environmental,3389186,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145127,USA,North America,USA,0,0,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_506,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,506,S_506,4981,SRP230115,45
SRR10450339,AMPLICON,302,4227698,PRJNA589612,SAMN13285369,Metagenome or environmental,2960709,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145126,Canada,North America,Canada,0,1,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_505,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,505,S_505,10760,SRP230115,61
SRR10450340,AMPLICON,302,5303422,PRJNA589612,SAMN13285368,Metagenome or environmental,3708485,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145125,USA,North America,USA,NA,NA,NA,NA,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_504,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,504,S_504,4457,SRP230115,165
SRR10450341,AMPLICON,302,3014262,PRJNA589612,SAMN13285367,Metagenome or environmental,2162228,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145124,USA,North America,USA,0,0,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_502,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,502,S_502,7590,SRP230115,147
SRR10450342,AMPLICON,302,4452990,PRJNA589612,SAMN13285366,Metagenome or environmental,3132214,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145123,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_501,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,501,S_501,6175,SRP230115,205
SRR10450343,AMPLICON,302,6815536,PRJNA589612,SAMN13285365,Metagenome or environmental,4827709,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145122,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_50,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,50,S_50,9584,SRP230115,47
SRR10450344,AMPLICON,302,5561934,PRJNA589612,SAMN13285364,Metagenome or environmental,3798850,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145121,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_5,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,5,S_5,4722,SRP230115,106
SRR10450345,AMPLICON,302,6347436,PRJNA589612,SAMN13285363,Metagenome or environmental,4351657,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145120,USA,North America,USA,0,1,0,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_498,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,498,S_498,7230,SRP230115,125
