mag_id,sample_description,fermented_food,specific_substrate,substrate_category,general_category,completeness,contamination,contigs,total_length,gc,n50,domain,phylum,class,order,family,genus,species,study_catalog,source,dataset_name,sample_id,split,macrocategory,category,type,subtype,country,sample_accession,run_accession,study_accession,project_accession,database_origin,Reference
AlvarezOrdonezA_xxxx__Q01-22__bin.9,cheese_brine,cheese,milk,dairy,fermented_dairy,82.19488343,2.447318008,573,3266441,58.64,8327,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Aidingimonas,Aidingimonas_lacisalsi,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q03-22__bin.2,cheese_brine,cheese,milk,dairy,fermented_dairy,75.26939655,0.862068966,82,2441458,61.44,56195,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter_japonicus,Carlino2024,AlvarezOrdonezA_xxxx__Q03-22,AlvarezOrdonezA_xxxx,Q03-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q05-22__bin.5,cheese_brine,cheese,milk,dairy,fermented_dairy,60.5015674,0.0,269,982995,40.41,4138,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_thermophilus,Carlino2024,AlvarezOrdonezA_xxxx__Q05-22,AlvarezOrdonezA_xxxx,Q05-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q05-22__bin.3,cheese_brine,cheese,milk,dairy,fermented_dairy,80.39814815,0.185185185,459,1974653,34.0,5289,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_equorum,Carlino2024,AlvarezOrdonezA_xxxx__Q05-22,AlvarezOrdonezA_xxxx,Q05-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q05-22__bin.4,cheese_brine,cheese,milk,dairy,fermented_dairy,99.33774834,0.0,80,2287552,35.72,44507,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus_halophilus,Carlino2024,AlvarezOrdonezA_xxxx__Q05-22,AlvarezOrdonezA_xxxx,Q05-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q05-22__bin.10,cheese_brine,cheese,milk,dairy,fermented_dairy,99.32659933,0.168350168,17,2828477,46.86,327642,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina_SGB60414,Carlino2024,AlvarezOrdonezA_xxxx__Q05-22,AlvarezOrdonezA_xxxx,Q05-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q05-22__bin.1,cheese_brine,cheese,milk,dairy,fermented_dairy,78.62068966,0.0,360,4098774,56.07,16631,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halovibrio,Halovibrio_SGB99187,Carlino2024,AlvarezOrdonezA_xxxx__Q05-22,AlvarezOrdonezA_xxxx,Q05-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q05-22__bin.7,cheese_brine,cheese,milk,dairy,fermented_dairy,57.32758621,0.0,19,1841078,61.57,122976,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter_SGB99217,Carlino2024,AlvarezOrdonezA_xxxx__Q05-22,AlvarezOrdonezA_xxxx,Q05-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q05-22__bin.2,cheese_brine,cheese,milk,dairy,fermented_dairy,58.62068966,0.0,56,2488101,55.88,85986,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas_SGB99198,Carlino2024,AlvarezOrdonezA_xxxx__Q05-22,AlvarezOrdonezA_xxxx,Q05-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q06-22__bin.2,cheese_brine,cheese,milk,dairy,fermented_dairy,96.98275862,0.969827586,24,3368598,61.03,175508,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter_canadensis,Carlino2024,AlvarezOrdonezA_xxxx__Q06-22,AlvarezOrdonezA_xxxx,Q06-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q06-22__bin.3,cheese_brine,cheese,milk,dairy,fermented_dairy,61.05499439,0.168350168,22,1695214,46.47,111537,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina_loihiensis,Carlino2024,AlvarezOrdonezA_xxxx__Q06-22,AlvarezOrdonezA_xxxx,Q06-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q06-22__bin.1,cheese_brine,cheese,milk,dairy,fermented_dairy,97.8987069,0.707826234,336,4122272,54.45,20532,Bacteria,Proteobacteria,CFGB15076,OFGB15076,FGB15076,GGB68610,GGB68610_SGB92596,Carlino2024,AlvarezOrdonezA_xxxx__Q06-22,AlvarezOrdonezA_xxxx,Q06-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q06-22__bin.6,cheese_brine,cheese,milk,dairy,fermented_dairy,67.34913793,0.646551724,16,2664160,61.97,287659,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Salinicola,Salinicola_halophyticus,Carlino2024,AlvarezOrdonezA_xxxx__Q06-22,AlvarezOrdonezA_xxxx,Q06-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.27,cheese_brine,cheese,milk,dairy,fermented_dairy,91.43758231,0.557981562,165,1515792,39.34,12008,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_thermophilus,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.22,cheese_brine,cheese,milk,dairy,fermented_dairy,88.42592593,0.666666667,503,2603537,33.44,7037,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_equorum,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.16,cheese_brine,cheese,milk,dairy,fermented_dairy,95.13245033,2.196467991,342,2343354,35.79,10077,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus_halophilus,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.1,cheese_brine,cheese,milk,dairy,fermented_dairy,88.52506462,1.62835249,288,2776629,61.5,15777,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter_japonicus,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.28,cheese_brine,cheese,milk,dairy,fermented_dairy,96.881098,2.064220183,422,2671567,72.04,9044,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Nesterenkonia,Nesterenkonia_halophila,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.8,cheese_brine,cheese,milk,dairy,fermented_dairy,67.2903562,0.570342205,706,2397500,37.79,3731,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Salegentibacter_agarivorans,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.2,cheese_brine,cheese,milk,dairy,fermented_dairy,98.8372093,1.162790698,128,4114971,63.69,57455,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium_SGB73277,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.19,cheese_brine,cheese,milk,dairy,fermented_dairy,92.58682831,1.097640891,120,2555338,65.48,83922,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Garicola,Garicola_koreensis,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.5,cheese_brine,cheese,milk,dairy,fermented_dairy,98.70689655,1.893171062,37,5293704,54.76,274660,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas_titanicae,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.12,cheese_brine,cheese,milk,dairy,fermented_dairy,85.85190039,3.027522936,310,2607300,65.11,12445,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Garicola,Garicola_SGB98753,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.21,cheese_brine,cheese,milk,dairy,fermented_dairy,84.73154362,1.677852349,264,2452586,48.47,12229,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Marinococcus,Marinococcus_SGB96856,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.14,cheese_brine,cheese,milk,dairy,fermented_dairy,97.80141844,3.546099291,178,3228540,65.26,28786,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus_salifodinae,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.15,cheese_brine,cheese,milk,dairy,fermented_dairy,96.98275862,1.379310345,46,3203927,62.25,119565,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas_utahensis,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.18,cheese_brine,cheese,milk,dairy,fermented_dairy,97.09480122,1.539973788,70,2659787,62.9,75831,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Garicola,Garicola_SGB98755,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.6,cheese_brine,cheese,milk,dairy,fermented_dairy,99.07801418,0.0,18,2754895,64.58,319727,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,Halalkalicoccus_SGB98377,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.7,cheese_brine,cheese,milk,dairy,fermented_dairy,94.82269504,0.85106383,71,2518002,65.03,52380,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus_morrhuae,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q07-22__bin.9,cheese_brine,cheese,milk,dairy,fermented_dairy,73.2232967,1.8,940,3356109,60.04,4054,Archaea,Euryarchaeota,CFGB219,OFGB219,FGB219,GGB71618,GGB71618_SGB98365,Carlino2024,AlvarezOrdonezA_xxxx__Q07-22,AlvarezOrdonezA_xxxx,Q07-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.11,cheese_brine,cheese,milk,dairy,fermented_dairy,50.60866441,0.568181818,397,1182967,36.15,3162,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_lactis,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.3,cheese_brine,cheese,milk,dairy,fermented_dairy,63.95326471,0.735080058,132,1062571,39.87,11216,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_thermophilus,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.5,cheese_brine,cheese,milk,dairy,fermented_dairy,88.99963925,3.121212121,332,1596322,64.39,6125,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_mongoliense,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.14,cheese_brine,cheese,milk,dairy,fermented_dairy,94.37086093,2.097130243,351,2317736,35.71,9411,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus_halophilus,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.26,cheese_brine,cheese,milk,dairy,fermented_dairy,98.77300613,1.073619632,28,1799592,38.92,96347,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella_jogaejeotgali,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.12,cheese_brine,cheese,milk,dairy,fermented_dairy,89.3244809,2.39485371,380,3766814,62.71,19815,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas_taeanensis,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.27,cheese_brine,cheese,milk,dairy,fermented_dairy,73.68097675,2.353786342,767,2862286,53.44,4304,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter_SGB99144,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.21,cheese_brine,cheese,milk,dairy,fermented_dairy,85.51724138,1.724137931,437,3304313,56.42,11632,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas_salicampi,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.23,cheese_brine,cheese,milk,dairy,fermented_dairy,83.34332834,3.333333333,594,2144897,31.24,4174,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,Halanaerobium_SGB97351,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q08-22__bin.9,cheese_brine,cheese,milk,dairy,fermented_dairy,96.75675676,0.45045045,145,3302924,42.44,46721,Bacteria,Proteobacteria,CFGB21214,OFGB21214,FGB21214,GGB72483,GGB72483_SGB99695,Carlino2024,AlvarezOrdonezA_xxxx__Q08-22,AlvarezOrdonezA_xxxx,Q08-22,Carlino2024,,,,,,,,,,,
CrovadoreJ_2017__SRS1919172__bin.12,honey,honey,nectar,other_plant_based,other_plant_based_fermentation,53.76175549,2.586206897,183,847629,34.3,5774,Bacteria,Firmicutes,CFGB34622,OFGB34622,FGB34622,GGB70286,GGB70286_SGB94702,Carlino2024,CrovadoreJ_2017__SRS1919172,CrovadoreJ_2017,SRS1919172,Carlino2024,,,,,,,,,,,
CrovadoreJ_2017__SRS1919172__bin.5,honey,honey,nectar,other_plant_based,other_plant_based_fermentation,61.7,0.0,25352,115225403,26.31,5631,Eukaryota,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Neocallimastix,unknown,Carlino2024,CrovadoreJ_2017__SRS1919172,CrovadoreJ_2017,SRS1919172,Carlino2024,,,,,,,,,,,
CrovadoreJ_2017__SRS1929208__bin.2,honey,honey,nectar,other_plant_based,other_plant_based_fermentation,70.3578869,2.80078125,337,869840,36.29,2687,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus_kunkeei,Carlino2024,CrovadoreJ_2017__SRS1929208,CrovadoreJ_2017,SRS1929208,Carlino2024,,,,,,,,,,,
MASTER_WP4_CSIC_1__P2134_73322__bin.4,cheese_brine,cheese,milk,dairy,fermented_dairy,93.81368268,0.436681223,75,1584743,39.28,34510,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_thermophilus,Carlino2024,MASTER_WP4_CSIC_1__P2134_73322,MASTER_WP4_CSIC_1,P2134_73322,Carlino2024,,,,,Spain,SAMN36689888,SRR25395263,SRP450983,PRJNA997801,,"Carlino, N., Blanco-Míguez, A., Punčochář, M., Mengoni, C., Pinto, F., Tatti, A., Manghi, P., Armanini, F., Avagliano, M., Barcenilla, C., Breselge, S., Cabrera-Rubio, R., Calvete-Torre, I., Coakley, M., Cobo-Díaz, J. F., De Filippis, F., Dey, H., Leech, J., Klaassens, E. S., Knobloch, S., O’Neil, D., Quijada, N. M., Sabater, C., Skírnisdóttir, S., Valentino, V., Walsh, L., MASTER EU Consortium, Asnicar, F., Fackelmann, G., Heidrich, V., Rota Stabelli, O., Pasolli, E., Arendt, E., Rubino, F., Cotter, P. D., Ruiz, L., Ercolini, D., Morrison, S., Marchart, J., Sessitsch, A., and Zannini, E. (2024). A pan-European study of the human gut microbiome reveals links with diet, health, and lifestyle. Cell, 187(13), 5795–5816.e15. https://doi.org/10.1016/j.cell.2024.05.028"
MASTER_WP4_CSIC_1__P2134_73322__bin.20,cheese_brine,cheese,milk,dairy,fermented_dairy,97.22222222,1.435185185,291,2405697,32.85,23194,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_equorum,Carlino2024,MASTER_WP4_CSIC_1__P2134_73322,MASTER_WP4_CSIC_1,P2134_73322,Carlino2024,,,,,Spain,SAMN36689888,SRR25395263,SRP450983,PRJNA997801,,"Carlino, N., Blanco-Míguez, A., Punčochář, M., Mengoni, C., Pinto, F., Tatti, A., Manghi, P., Armanini, F., Avagliano, M., Barcenilla, C., Breselge, S., Cabrera-Rubio, R., Calvete-Torre, I., Coakley, M., Cobo-Díaz, J. F., De Filippis, F., Dey, H., Leech, J., Klaassens, E. S., Knobloch, S., O’Neil, D., Quijada, N. M., Sabater, C., Skírnisdóttir, S., Valentino, V., Walsh, L., MASTER EU Consortium, Asnicar, F., Fackelmann, G., Heidrich, V., Rota Stabelli, O., Pasolli, E., Arendt, E., Rubino, F., Cotter, P. D., Ruiz, L., Ercolini, D., Morrison, S., Marchart, J., Sessitsch, A., and Zannini, E. (2024). A pan-European study of the human gut microbiome reveals links with diet, health, and lifestyle. Cell, 187(13), 5795–5816.e15. https://doi.org/10.1016/j.cell.2024.05.028"
MASTER_WP4_CSIC_1__P2134_73322__bin.24,cheese_brine,cheese,milk,dairy,fermented_dairy,93.04981726,0.0,79,2453843,63.45,60491,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas_jeotgali,Carlino2024,MASTER_WP4_CSIC_1__P2134_73322,MASTER_WP4_CSIC_1,P2134_73322,Carlino2024,,,,,Spain,SAMN36689888,SRR25395263,SRP450983,PRJNA997801,,"Carlino, N., Blanco-Míguez, A., Punčochář, M., Mengoni, C., Pinto, F., Tatti, A., Manghi, P., Armanini, F., Avagliano, M., Barcenilla, C., Breselge, S., Cabrera-Rubio, R., Calvete-Torre, I., Coakley, M., Cobo-Díaz, J. F., De Filippis, F., Dey, H., Leech, J., Klaassens, E. S., Knobloch, S., O’Neil, D., Quijada, N. M., Sabater, C., Skírnisdóttir, S., Valentino, V., Walsh, L., MASTER EU Consortium, Asnicar, F., Fackelmann, G., Heidrich, V., Rota Stabelli, O., Pasolli, E., Arendt, E., Rubino, F., Cotter, P. D., Ruiz, L., Ercolini, D., Morrison, S., Marchart, J., Sessitsch, A., and Zannini, E. (2024). A pan-European study of the human gut microbiome reveals links with diet, health, and lifestyle. Cell, 187(13), 5795–5816.e15. https://doi.org/10.1016/j.cell.2024.05.028"
MASTER_WP4_CSIC_1__P2134_73322__bin.25,cheese_brine,cheese,milk,dairy,fermented_dairy,84.69582787,4.519440804,535,2171285,72.22,4955,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Nesterenkonia,Nesterenkonia_halophila,Carlino2024,MASTER_WP4_CSIC_1__P2134_73322,MASTER_WP4_CSIC_1,P2134_73322,Carlino2024,,,,,Spain,SAMN36689888,SRR25395263,SRP450983,PRJNA997801,,"Carlino, N., Blanco-Míguez, A., Punčochář, M., Mengoni, C., Pinto, F., Tatti, A., Manghi, P., Armanini, F., Avagliano, M., Barcenilla, C., Breselge, S., Cabrera-Rubio, R., Calvete-Torre, I., Coakley, M., Cobo-Díaz, J. F., De Filippis, F., Dey, H., Leech, J., Klaassens, E. S., Knobloch, S., O’Neil, D., Quijada, N. M., Sabater, C., Skírnisdóttir, S., Valentino, V., Walsh, L., MASTER EU Consortium, Asnicar, F., Fackelmann, G., Heidrich, V., Rota Stabelli, O., Pasolli, E., Arendt, E., Rubino, F., Cotter, P. D., Ruiz, L., Ercolini, D., Morrison, S., Marchart, J., Sessitsch, A., and Zannini, E. (2024). A pan-European study of the human gut microbiome reveals links with diet, health, and lifestyle. Cell, 187(13), 5795–5816.e15. https://doi.org/10.1016/j.cell.2024.05.028"
