Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Category,Center Name,Collection_Date,Consent,dataset_name,DATASTORE filetype,DATASTORE provider,DATASTORE region,dna_extraction_kit,Experiment,fermented/non-fermented,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,library_layout,Library Name,LibraryLayout,LibrarySelection,LibrarySource,max_read_len,mean_read_len,median_read_len,min_read_len,n_of_bases,n_of_reads,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sequencing_platform,SRA Study,subtype,Type
SRR28523071,WGS,295,16282172464,PRJNA1094419,SAMN40695702,Metagenome or environmental,5391939887,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124172,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,FO013_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,9285907",151,50,16282172464,110067786,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:51:00Z,1,FO013_71775,Illumina_NovaSeq_6000,SRP499185,fontina,cheese
SRR28523072,WGS,293,18435375689,PRJNA1094419,SAMN40695701,Metagenome or environmental,6126138432,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",QIAGEN_MASTERWP4_kit,SRX24124171,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,FO001_71775,PAIRED,RANDOM,METAGENOMIC,151,"146,8537595",151,50,18435375689,125535606,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:42:00Z,1,FO001_71775,Illumina_NovaSeq_6000,SRP499185,fontina,cheese
SRR28523073,WGS,292,15639377546,PRJNA1094419,SAMN40695700,Metagenome or environmental,5385334911,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124170,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,FO011_71775,PAIRED,RANDOM,METAGENOMIC,151,"146,1193386",151,50,15639377546,107031538,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:47:00Z,1,FO011_71775,Illumina_NovaSeq_6000,SRP499185,fontina,cheese
SRR28523074,WGS,295,14851364039,PRJNA1094419,SAMN40695699,Metagenome or environmental,4861968489,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124169,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,FO007_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,9250319",151,50,14851364039,100397910,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:45:00Z,1,FO007_71775,Illumina_NovaSeq_6000,SRP499185,fontina,cheese
SRR28523075,WGS,288,20437169057,PRJNA1094419,SAMN40695698,Metagenome or environmental,6657371188,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124168,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,GR012_71775,PAIRED,RANDOM,METAGENOMIC,151,"144,0441",151,50,20437169057,141881334,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T10:00:00Z,1,GR012_71775,Illumina_NovaSeq_6000,SRP499185,grana_padano,cheese
SRR28523076,WGS,284,17706824627,PRJNA1094419,SAMN40695697,Metagenome or environmental,5772452976,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124167,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,GR003_71775,PAIRED,RANDOM,METAGENOMIC,151,"142,4275456",151,50,17706824627,124321630,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:55:00Z,1,GR003_71775,Illumina_NovaSeq_6000,SRP499185,grana_padano,cheese
SRR28523077,WGS,285,15918817492,PRJNA1094419,SAMN40695696,Metagenome or environmental,5195576521,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124166,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,GR001_73417,PAIRED,RANDOM,METAGENOMIC,151,"142,6141924",151,50,15918817492,111621552,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:49:00Z,1,GR001_73417,Illumina_NovaSeq_6000,SRP499185,grana_padano,cheese
SRR28523078,WGS,298,8524718156,PRJNA1094419,SAMN40695489,Metagenome or environmental,2806133256,dairy,UNIVERSITY OF TRENTO,missing,public,DeFilippisF_xxxx,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124165,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,DF_114,PAIRED,RANDOM,METAGENOMIC,150,"147,5523076",150,75,8524718156,57011869,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:43:00Z,1,DF_114,Illumina_NovaSeq_6000,SRP499185,brie,cheese
SRR28523079,WGS,271,12362049853,PRJNA1094419,SAMN40695695,Metagenome or environmental,4040665729,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124164,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,GR002_73417,PAIRED,RANDOM,METAGENOMIC,151,"135,7151683",151,50,12362049853,91088196,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:49:00Z,1,GR002_73417,Illumina_NovaSeq_6000,SRP499185,grana_padano,cheese
SRR28523080,WGS,285,14650015712,PRJNA1094419,SAMN40695694,Metagenome or environmental,4848616944,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124163,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,GR211_71775,PAIRED,RANDOM,METAGENOMIC,151,"142,8155418",151,50,14650015712,102579982,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T10:11:00Z,1,GR211_71775,Illumina_NovaSeq_6000,SRP499185,grana_padano,cheese
SRR28523081,WGS,287,18470819647,PRJNA1094419,SAMN40695693,Metagenome or environmental,6020728984,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124162,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,GR111_73417,PAIRED,RANDOM,METAGENOMIC,151,"143,6984092",151,50,18470819647,128538790,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:41:00Z,1,GR111_73417,Illumina_NovaSeq_6000,SRP499185,grana_padano,cheese
SRR28523082,WGS,272,12750272761,PRJNA1094419,SAMN40695692,Metagenome or environmental,4207014393,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124161,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PA004_73417,PAIRED,RANDOM,METAGENOMIC,151,"136,3799728",151,50,12750272761,93490800,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:42:00Z,1,PA004_73417,Illumina_NovaSeq_6000,SRP499185,parmigiano_reggiano,cheese
SRR28523083,WGS,279,19971463629,PRJNA1094419,SAMN40695691,Metagenome or environmental,6512717130,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124160,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PA012_73417,PAIRED,RANDOM,METAGENOMIC,151,"139,9934226",151,50,19971463629,142660014,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:41:00Z,1,PA012_73417,Illumina_NovaSeq_6000,SRP499185,parmigiano_reggiano,cheese
SRR28523084,WGS,284,18649824961,PRJNA1094419,SAMN40695690,Metagenome or environmental,6180473798,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124159,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PA001_71775,PAIRED,RANDOM,METAGENOMIC,151,"142,1244474",151,50,18649824961,131221794,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:57:00Z,1,PA001_71775,Illumina_NovaSeq_6000,SRP499185,parmigiano_reggiano,cheese
SRR28523085,WGS,278,13011708686,PRJNA1094419,SAMN40695689,Metagenome or environmental,4245374264,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124158,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PA002_73417,PAIRED,RANDOM,METAGENOMIC,151,"139,2235012",151,50,13011708686,93459140,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:49:00Z,1,PA002_73417,Illumina_NovaSeq_6000,SRP499185,parmigiano_reggiano,cheese
SRR28523086,WGS,279,17684755746,PRJNA1094419,SAMN40695688,Metagenome or environmental,5837408175,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124157,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PA011_73417,PAIRED,RANDOM,METAGENOMIC,151,"139,9983064",151,50,17684755746,126321212,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:45:00Z,1,PA011_73417,Illumina_NovaSeq_6000,SRP499185,parmigiano_reggiano,cheese
SRR28523087,WGS,284,18920769999,PRJNA1094419,SAMN40695687,Metagenome or environmental,6221746782,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124156,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PA207_73417,PAIRED,RANDOM,METAGENOMIC,151,"142,3652781",151,50,18920769999,132902982,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:57:00Z,1,PA207_73417,Illumina_NovaSeq_6000,SRP499185,parmigiano_reggiano,cheese
SRR28523088,WGS,148,77948877,PRJNA1094419,SAMN40695686,Metagenome or environmental,27391636,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124155,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PA107_73419,PAIRED,RANDOM,METAGENOMIC,151,"74,13916202",64,50,77948877,1051386,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:09:00Z,1,PA107_73419,Illumina_NovaSeq_6000,SRP499185,parmigiano_reggiano,cheese
SRR28523089,WGS,298,8310896704,PRJNA1094419,SAMN40695488,Metagenome or environmental,2779792198,dairy,UNIVERSITY OF TRENTO,missing,public,DeFilippisF_xxxx,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124154,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,DF_94,PAIRED,RANDOM,METAGENOMIC,150,"147,4901771",150,75,8310896704,55538488,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:49:00Z,1,DF_94,Illumina_NovaSeq_6000,SRP499185,fiore_sardo,cheese
SRR28523090,WGS,273,21807769279,PRJNA1094419,SAMN40695685,Metagenome or environmental,7064447880,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124153,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR005_71775,PAIRED,RANDOM,METAGENOMIC,151,"136,5767272",151,50,21807769279,159674124,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:51:00Z,1,PR005_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523091,WGS,295,16464584250,PRJNA1094419,SAMN40695684,Metagenome or environmental,5483901665,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",QIAGEN_MASTERWP4_kit,SRX24124152,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR004_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,6849099",151,50,16464584250,111484540,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:36:00Z,1,PR004_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523092,WGS,295,16016923112,PRJNA1094419,SAMN40695683,Metagenome or environmental,5464263285,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124151,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR012_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,5194256",151,50,16016923112,108575010,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T10:16:00Z,1,PR012_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523093,WGS,292,14973667529,PRJNA1094419,SAMN40695682,Metagenome or environmental,4983153838,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124150,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR006_71775,PAIRED,RANDOM,METAGENOMIC,151,"146,435601",151,50,14973667529,102254284,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:45:00Z,1,PR006_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523094,WGS,294,14997586128,PRJNA1094419,SAMN40695681,Metagenome or environmental,4954252724,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124149,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR003_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,0669073",151,50,14997586128,101977980,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:50:00Z,1,PR003_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523095,WGS,295,16558562214,PRJNA1094419,SAMN40695680,Metagenome or environmental,5504800289,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124148,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR202_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,7466265",151,50,16558562214,112074046,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:52:00Z,1,PR202_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523096,WGS,294,17765670905,PRJNA1094419,SAMN40695679,Metagenome or environmental,5837764228,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124147,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR102_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,3045627",151,50,17765670905,120605028,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T10:26:00Z,1,PR102_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523097,WGS,294,15647435350,PRJNA1094419,SAMN40695678,Metagenome or environmental,5238324171,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",QIAGEN_MASTERWP4_kit,SRX24124146,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR011_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,4576875",151,50,15647435350,106114748,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:46:00Z,1,PR011_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523098,WGS,287,20523095722,PRJNA1094419,SAMN40695677,Metagenome or environmental,6691733997,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124145,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR207_71775,PAIRED,RANDOM,METAGENOMIC,151,"143,9230669",151,50,20523095722,142597682,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:42:00Z,1,PR207_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
SRR28523099,WGS,293,17456187663,PRJNA1094419,SAMN40695676,Metagenome or environmental,5715104236,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",QIAGEN_MASTERWP4_kit,SRX24124144,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PR107_71775,PAIRED,RANDOM,METAGENOMIC,151,"146,9394545",151,50,17456187663,118798506,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:40:00Z,1,PR107_71775,Illumina_NovaSeq_6000,SRP499185,pecorino_romano,cheese
