genome,cluster,score
FalardeauJ_2023__SRR20811271__bin.6.fa,59_2,61.35468405399441
FalardeauJ_2023__SRR20811134__bin.3.fa,59_3,84.65221864739803
FalardeauJ_2023__SRR20811274__bin.6.fa,59_4,101.43791620317646
KastmanEK_2016__CSB694__bin.2.fa,59_5,99.71257467382091
FontanaF_2023__SRR20746927__bin.2.fa,59_6,74.4942634433841
DeFilippisF_xxxx__DS_2__bin.10.fa,59_7,59.094341898634795
MAG_430.fa,60_1,97.38064236826479
MASTER_WP4_FFoQSI_1__VB-03-M5__bin.21.fa,60_2,91.73690140760472
FalardeauJ_2023__SRR20811152__bin.2.fa,60_3,83.44500727282689
MASTER_WP4_CSIC_2__P2584__bin.5.fa,60_4,100.25440382865783
DeFilippisF_xxxx__DF_114__bin.6.fa,60_5,51.16959026931811
MASTER_WP4_TEAGASC_1__TGS04-28__bin.18.fa,60_6,84.87506317580613
MASTER_WP4_TEAGASC_1__TGS04-29__bin.13.fa,60_7,68.46460369125938
MASTER_WP4_TEAGASC_1__TGS04-23__bin.31.fa,60_8,70.26462744222958
MASTER_WP4_FFoQSI_2__VB10-22__bin.2.fa,60_9,72.47977267279514
AlvarezOrdonezA_xxxx__R03-19__bin.13.fa,60_10,54.6075268611632
MASTER_WP4_FFoQSI_3__VB07-22__bin.6.fa,60_11,73.7139548564955
MASTER_WP4_FFoQSI_3__VB01-22__bin.1.fa,61_1,54.79360304023504
MASTER_WP4_UNINA_1__SR008_71775__bin.11.fa,61_2,55.286059102187316
FontanaF_2023__SRR20746954__bin.5.fa,61_3,61.11638044423972
DeFilippisF_xxxx__DS_2__bin.14.fa,61_4,45.74410968758006
MAG_105.fa,61_5,59.097968453134584
MASTER_WP4_FFoQSI_3__VB14-22__bin.41.fa,62_0,55.43765885600136
MAG_404.fa,63_1,37.33286489391556
WalshAM_2020__ERS3466737__bin.1.fa,63_2,50.114656524896006
AlvarezOrdonezA_xxxx__Q06-29__bin.4.fa,63_3,73.92248338898389
MASTER_WP4_CSIC_1__P2135_73322__bin.7.fa,63_4,96.10604060785735
MASTER_WP4_TEAGASC_1__TGS14-22__bin.58.fa,64_0,54.48665293175596
Wy2_bin.circ.5.fa,65_0,97.36873228789283
BertuzziAS_2018__ERS2032116__bin.10.fa,66_1,80.17447227103804
MASTER_WP4_TEAGASC_1__TGS01-22__bin.24.fa,66_2,96.29539405406248
MASTER_WP4_TEAGASC_1__TGS06-22__bin.14.fa,66_3,70.2118277058355
DeFilippisF_xxxx__DF_114__bin.13.fa,66_4,46.61977976135164
MASTER_WP4_UNINA_1__SR008_71775__bin.19.fa,66_5,53.59358387318259
MAG_383.fa,66_6,96.40570613406793
MAG_384.fa,66_7,54.84361470966365
MAG_429.fa,66_8,38.25792321815458
AlvarezOrdonezA_xxxx__C03-19__bin.28.fa,66_9,49.41468886912405
DeFilippisF_xxxx__DS_50__bin.1.fa,66_10,58.94373525216389
AlvarezOrdonezA_xxxx__C06-18__bin.11.fa,66_11,56.01818533263128
WolfeBE_2014__319_Tarentaise__bin.1.fa,66_12,95.91932616925794
AlvarezOrdonezA_xxxx__F03-18__bin.18.fa,66_13,41.18057768300351
FalardeauJ_2023__SRR20811153__bin.2.fa,66_14,77.10648213599833
FalardeauJ_2023__SRR20811174__bin.3.fa,66_15,69.56379266327353
FalardeauJ_2023__SRR20811152__bin.8.fa,66_16,61.03511625899753
O2_bin.circ.2.fa,66_17,97.43530091324388
O6_bin.full.65.fa,66_18,100.27617690100871
AlvarezOrdonezA_xxxx__F01-18__bin.11.fa,66_19,61.04400870812439
FalardeauJ_2023__SRR20811133__bin.9.fa,66_20,90.36812916879032
BertuzziAS_2018__ERS2032120__bin.4.fa,66_21,99.47380126875578
MAG_456.fa,66_22,56.55785491891393
MASTER_WP4_TEAGASC_1__TGS08-29__bin.22.fa,66_23,68.89663660749676
182.fa,66_24,99.39281697708337
DeFilippisF_xxxx__DS_107__bin.10.fa,66_25,48.674857505398286
FontanaF_2023__SRR20746954__bin.3.fa,66_26,73.13358906851151
FalardeauJ_2023__SRR20811227__bin.4.fa,66_27,71.94201599013559
MacoriG_2019__CS_R32__bin.3.fa,67_1,99.52515562147016
180.fa,67_2,99.23395440598242
MAG_409.fa,67_3,13.32352052002117
O4_bin.circ.1.fa,68_1,95.15343165904258
MASTER_WP4_TEAGASC_1__TGS15-30__bin.13.fa,68_2,69.62665707517249
175.fa,68_3,97.1731133966691
MAG_176.fa,69_1,96.44116496860111
AlvarezOrdonezA_xxxx__R03-19__bin.22.fa,70_0,64.33185387812962
MASTER_WP4_FFoQSI_3__VB14-22__bin.35.fa,71_0,94.41460282438567
AlvarezOrdonezA_xxxx__Q08-22__bin.9.fa,72_0,95.84926057484579
MASTER_WP4_UNINA_2__U-22__bin.12.fa,73_0,99.44101245818612
MacoriG_2019__CS_R42__bin.6.fa,74_1,98.24745619039423
MAG_416.fa,74_2,27.54481890020333
WolfeBE_2014__337_Mileens__bin.2.fa,74_3,54.79929530744175
DeFilippisF_xxxx__DF_18__bin.7.fa,75_1,92.29888042190586
MASTER_WP4_UNINA_1__GO102_71775__bin.35.fa,75_2,51.33694786190936
MASTER_WP4_UNINA_1__TA003_71775__bin.16.fa,75_3,57.01917157128564
FalardeauJ_2023__SRR20811176__bin.3.fa,75_4,70.59292176952906
FontanaF_2023__SRR20746930__bin.6.fa,75_5,74.25345454248274
DeFilippisF_xxxx__DF_11__bin.20.fa,75_6,64.06112554209132
MacoriG_2019__CS_R33__bin.1.fa,75_7,95.21633979478712
MAG_418.fa,75_8,21.427443067325132
MASTER_WP4_TEAGASC_1__TGS04-28__bin.21.fa,76_1,53.14908975504294
MASTER_WP4_TEAGASC_1__TGS04-29__bin.10.fa,76_2,42.95593331433676
MAG_447.fa,76_3,43.471237251875145
WalshAM_2020__ERS3466749__bin.4.fa,76_4,53.34707876481399
MAG_130.fa,76_5,10.08287991824431
We2_bin.full.44.fa,76_6,91.05592270150656
We2_bin.circ.8.fa,77_1,88.63112881063331
ODFM-BA-A-0160-001_Vibrio_casei_JB196.fa,78_1,94.98638814815018
Wy3_bin.full.20.fa,78_2,93.94725957829442
MAG_454.fa,78_3,92.48652556812371
MAG_51.fa,78_4,47.36946993094516
MAG_18.fa,79_1,49.19635311325551
MASTER_WP4_CSIC_2__P2619__bin.31.fa,79_2,55.97440969459915
MASTER_WP4_CSIC_2__P2603__bin.2.fa,79_3,76.80040347753304
YouL_2022__SRR13308523__bin.20.fa,79_4,69.49747800112492
YouL_2022__SRR13308531__bin.1.fa,79_5,69.19034846985622
YouL_2022__SRR13308540__bin.9.fa,79_6,74.73255070579901
DeFilippisF_xxxx__DF_9__bin.12.fa,79_7,44.01425183812373
DeFilippisF_xxxx__DF_100__bin.18.fa,80_1,86.96270042427993
DeFilippisF_xxxx__DF_32__bin.17.fa,80_2,59.883458899031105
MAG_632.fa,80_3,90.96271708105904
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.80.fa,80_4,90.44469806576893
MASTER_WP4_FFoQSI_1__VB-16-M15__bin.27.fa,80_5,47.7612438623908
WolfeBE_2014__705_Forme_dAmbert__bin.4.fa,80_6,69.513216662447
MAG_451.fa,81_1,47.29823374229956
MAG_452.fa,81_2,49.50838726851501
We2_bin.full.36.fa,82_1,98.75712404891884
MAG_408.fa,82_2,14.023939704603597
MAG_153.fa,82_3,21.77442225341291
MAG_90.fa,83_1,86.4652305137172
MAG_407.fa,83_2,46.054991805579846
FontanaF_2023__SRR20746930__bin.2.fa,84_1,87.59420055677369
FalardeauJ_2023__SRR20811282__bin.3.fa,84_2,101.96809079932058
DeFilippisF_xxxx__DF_42__bin.10.fa,84_3,80.53451796446248
176.fa,84_4,101.37830017342829
FalardeauJ_2023__SRR20811131__bin.8.fa,84_5,94.0561639423943
We2_bin.full.53.fa,84_6,92.41471447079428
MAG_455.fa,84_7,90.42957522353342
We2_bin.full.21.fa,84_8,101.1578396045697
FalardeauJ_2023__SRR20811272__bin.10.fa,84_9,64.46695772021079
MAG_114.fa,84_10,18.361008607413577
MASTER_WP4_UNINA_2__V-29__bin.28.fa,85_0,59.33939298364578
CM_UNINA_FFOOD__FFOOD_254__bin.8.fa,86_1,92.24074053709246
MAG_446.fa,87_1,77.61644625004536
MAG_72.fa,87_2,100.01529644779636
MASTER_WP4_TEAGASC_1__TGS06-22__bin.15.fa,87_3,82.35696520389348
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.37.fa,88_1,100.38351456068044
MAG_406.fa,88_2,100.0905795061912
MAG_17.fa,88_3,92.17292457068602
MASTER_WP4_TEAGASC_1__TGS11-22__bin.17.fa,88_4,74.84138949303095
MAG_493.fa,88_5,87.01398873744182
AlvarezOrdonezA_xxxx__Q01-22__bin.8.fa,88_6,60.51689978905613
MASTER_WP4_TEAGASC_1__TGS01-22__bin.6.fa,88_7,96.40202968137048
MASTER_WP4_CSIC_1__P2136_73322__bin.11.fa,88_8,67.02290793590667
AlvarezOrdonezA_xxxx__Q06-22__bin.3.fa,88_9,61.74695302956778
MASTER_WP4_CSIC_1__P2137_73322__bin.33.fa,88_10,45.225827115004755
AlvarezOrdonezA_xxxx__Q05-22__bin.10.fa,88_11,100.25254827414963
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin.13.fa,89_1,96.31809560039942
MASTER_WP4_CSIC_1__P2237_73323__bin.8.fa,90_0,84.0078366423279
YasirM_2022__SRR18334999__bin.1.fa,91_0,49.697762957519636
MAG_308.fa,92_1,72.59792708158105
MAG_468.fa,93_1,83.55836790163427
QuigleyL_2016__ERS654086__bin.3.fa,93_2,53.591770073269196
DeFilippisF_xxxx__DF_75__bin.10.fa,93_3,82.20867328186323
MASTER_WP4_UNINA_2__R-35__bin.9.fa,93_4,64.6765579999615
QuigleyL_2016__ERR752914__bin.5.fa,93_5,91.76664973003228
DeFilippisF_xxxx__DF_58__bin.5.fa,93_6,99.8604194258724
MASTER_WP4_UNINA_1__GO011_71775__bin.3.fa,93_7,74.94663384066683
MAG_310.fa,93_8,65.63056016188843
MASTER_WP4_UNINA_2__E-22__bin.10.fa,93_9,84.65298522184082
YangC_2021__SRR13259379__bin.3.fa,93_10,56.73129388476339
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.33.fa,94_1,89.98690810185646
MASTER_WP4_CSIC_1__P2138_73322__bin.7.fa,94_2,97.71539779354195
MASTER_WP4_FFoQSI_1__VB-16-M15__bin.1.fa,95_1,99.57956388571048
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.50.fa,95_2,42.43236563190066
MASTER_WP4_FFoQSI_1__VB-12D__bin.16.fa,95_3,52.59483711776075
MortensenS_xxxx__WK035-2-G-48h-04B2_S111__bin.2.fa,96_1,99.0685098482315
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin.2.fa,97_1,98.90905552055179
MortensenS_xxxx__WK029-1-L-48h-03A3_S22__bin.3.fa,97_2,97.89254355280931
MortensenS_xxxx__WK020-2-G-48h-01E5_S20__bin.8.fa,97_3,67.23331073919236
MortensenS_xxxx__WK003-2-G-48h-01C6_S3__bin.7.fa,97_4,57.083429659800025
MortensenS_xxxx__WK066-2-L-48h-05B8_S69__bin.3.fa,98_1,96.84107252414711
MortensenS_xxxx__WK069-1-L-48h-05C9_S79__bin.1.fa,99_0,89.55223574973525
MAG_120.fa,100_1,49.61809967354787
MAG_546.fa,100_2,72.61963633156095
MAG_539.fa,101_0,69.14310314854157
LeechJ_xxxx__AF59__bin.6.fa,102_0,98.32274556860153
WalshL_xxxx__H3_S87__bin.19.fa,103_0,88.93097782027682
ZhaoCC_2020__SRS5803194__bin.5.fa,104_1,84.92903623257402
ZhaoCC_2020__SRS5803195__bin.4.fa,104_2,86.82177430650539
AlvarezOrdonezA_xxxx__Q08-22__bin.23.fa,105_0,67.49693789736472
MASTER_WP4_FFoQSI_3__VB14-22__bin.17.fa,106_0,86.30134402329362
MASTER_WP4_CSIC_1__P2137_73322__bin.2.fa,107_0,82.97903628053061
MAG_489.fa,108_0,81.3614271727081
MotaGutierrezJ_2021__SRR11602153__bin.8.fa,109_1,96.9492034380281
MotaGutierrezJ_2021__SRR11602156__bin.19.fa,109_2,55.669090304813885
MAG_97.fa,109_3,95.34394703205591
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin.3.fa,110_1,93.51749137898379
LeechJ_2020__ERS3967715__bin.3.fa,110_2,74.9197322931092
MASTER_WP4_TEAGASC_1__TGS05-22__bin.3.fa,111_0,80.14627981388163
MASTER_WP4_UNINA_1__FO007_71775__bin.32.fa,112_1,102.35814167555053
FalardeauJ_2023__SRR20811223__bin.2.fa,112_2,72.9800921648111
MASTER_WP4_UNINA_1__PU007_71775__bin.29.fa,112_3,80.34088336216772
ODFM-BA-A-0172-001_Clostridium_tyrobutyricum_FAM22553.fa,113_1,100.97204241059397
MASTER_WP4_UNINA_1__PR005_71775__bin.12.fa,113_2,96.49726480546789
CM_UNINA_FFOOD__FFOOD_408__bin.6.fa,113_3,52.28784153380846
DeFilippisF_xxxx__DF_104__bin.11.fa,113_4,87.44606821291565
MASTER_WP4_UNINA_1__TO013_71775__bin.4.fa,113_5,66.61071765888015
CM_UNINA_FFOOD__FFOOD_397__bin.5.fa,114_0,101.28665133278916
EBC_089.11.fa,115_0,66.56217024072905
ZhaoCC_2020__SRS5803193__bin.7.fa,116_0,75.30620379513735
ZhaoCC_2020__SRS5803194__bin.11.fa,117_0,45.757849969908854
ZhaoCC_2020__SRS5803194__bin.24.fa,118_1,94.26512879478916
