genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
MotaGutierrezJ_2021__SRR11602139__bin.21.fa,10_1,0.050000000000000044,average,fastANI,10
MotaGutierrezJ_2021__SRR11602145__bin.8.fa,10_1,0.050000000000000044,average,fastANI,10
MotaGutierrezJ_2021__SRR11602153__bin.4.fa,10_1,0.050000000000000044,average,fastANI,10
MotaGutierrezJ_2021__SRR11602156__bin.5.fa,10_1,0.050000000000000044,average,fastANI,10
MotaGutierrezJ_2021__SRR11602157__bin.7.fa,10_1,0.050000000000000044,average,fastANI,10
YuY_2022__SRR16950700__bin.5.fa,10_1,0.050000000000000044,average,fastANI,10
YuY_2022__SRR16950702__bin.24.fa,10_1,0.050000000000000044,average,fastANI,10
YuY_2022__SRR16950704__bin.19.fa,10_1,0.050000000000000044,average,fastANI,10
AlvarezOrdonezA_xxxx__C07-18__bin.11.fa,11_1,0.050000000000000044,average,fastANI,11
AlvarezOrdonezA_xxxx__C07-19__bin.17.fa,11_1,0.050000000000000044,average,fastANI,11
KharnaiorP_2023__SRR22859377__bin.14.fa,11_1,0.050000000000000044,average,fastANI,11
LiZ_2019__SRS3379157__bin.1.fa,11_1,0.050000000000000044,average,fastANI,11
MAG_615.fa,11_1,0.050000000000000044,average,fastANI,11
ODFM-BA-A-0009-005_Bacillus_velezensis_YJ11-1-4.fa,11_1,0.050000000000000044,average,fastANI,11
SulaimanJ_2014__SRS398261__bin.6.fa,11_1,0.050000000000000044,average,fastANI,11
SulaimanJ_2014__SRS398265__bin.4.fa,11_1,0.050000000000000044,average,fastANI,11
SulaimanJ_2014__SRS398266__bin.3.fa,11_1,0.050000000000000044,average,fastANI,11
SulaimanJ_2014__SRS398267__bin.4.fa,11_1,0.050000000000000044,average,fastANI,11
SulaimanJ_2014__SRS398268__bin.5.fa,11_1,0.050000000000000044,average,fastANI,11
SulaimanJ_2014__SRS398269__bin.3.fa,11_1,0.050000000000000044,average,fastANI,11
MS_bin.1.fa,11_2,0.050000000000000044,average,fastANI,11
MAG_314.fa,12_1,0.050000000000000044,average,fastANI,12
MAG_366.fa,12_2,0.050000000000000044,average,fastANI,12
MASTER_WP4_UNINA_2__P-22__bin.7.fa,13_0,0.050000000000000044,average,fastANI,13
MAG_309.fa,14_1,0.050000000000000044,average,fastANI,14
MASTER_WP4_UNINA_2__A-22__bin.11.fa,14_1,0.050000000000000044,average,fastANI,14
MASTER_WP4_UNINA_2__B-22__bin.4.fa,14_1,0.050000000000000044,average,fastANI,14
MASTER_WP4_UNINA_2__C-22__bin.5.fa,14_1,0.050000000000000044,average,fastANI,14
MASTER_WP4_UNINA_2__D-22__bin.6.fa,14_1,0.050000000000000044,average,fastANI,14
MASTER_WP4_UNINA_2__E-22__bin.15.fa,14_1,0.050000000000000044,average,fastANI,14
MASTER_WP4_UNINA_2__F-22__bin.18.fa,14_1,0.050000000000000044,average,fastANI,14
MASTER_WP4_UNINA_2__P-22__bin.9.fa,14_1,0.050000000000000044,average,fastANI,14
MASTER_WP4_UNINA_2__R-35__bin.4.fa,14_1,0.050000000000000044,average,fastANI,14
MAG_500.fa,15_1,0.050000000000000044,average,fastANI,15
PasolliE_2019__DS002__bin.1.fa,15_1,0.050000000000000044,average,fastANI,15
PasolliE_2020__SRS6525471__bin.1.fa,15_1,0.050000000000000044,average,fastANI,15
DuR_2020__DRS139335__bin.16.fa,15_2,0.050000000000000044,average,fastANI,15
LiZ_2018__SRS2920550__bin.25.fa,15_2,0.050000000000000044,average,fastANI,15
LiZ_2018__SRS2920551__bin.1.fa,15_2,0.050000000000000044,average,fastANI,15
LiZ_2018__SRS2920555__bin.13.fa,15_2,0.050000000000000044,average,fastANI,15
LeechJ_xxxx__AF43__bin.10.fa,16_0,0.050000000000000044,average,fastANI,16
AlvarezOrdonezA_xxxx__Q01-22__bin.18.fa,17_1,0.050000000000000044,average,fastANI,17
MASTER_WP4_CSIC_1__P2134_73322__bin.21.fa,17_1,0.050000000000000044,average,fastANI,17
MASTER_WP4_FFoQSI_1__RC17-032__bin.4.fa,17_1,0.050000000000000044,average,fastANI,17
MASTER_WP4_FFoQSI_2__VB16-22__bin.19.fa,17_1,0.050000000000000044,average,fastANI,17
MASTER_WP4_UNINA_2__T-22__bin.5.fa,17_1,0.050000000000000044,average,fastANI,17
MAG_352.fa,18_0,0.050000000000000044,average,fastANI,18
CM_UNINA_FFOOD__FFOOD_281__bin.3.fa,19_1,0.050000000000000044,average,fastANI,19
MASTER_WP4_CSIC_1__P2242_73323__bin.17.fa,19_1,0.050000000000000044,average,fastANI,19
MagliuloR_2024__SRR28235353__bin.7.fa,19_1,0.050000000000000044,average,fastANI,19
MASTER_WP4_TEAGASC_1__TGS14-22__bin.29.fa,20_0,0.050000000000000044,average,fastANI,20
YulandiA_2020__SRS6115053__bin.23.fa,21_0,0.050000000000000044,average,fastANI,21
YulandiA_2020__SRS6115052__bin.1.fa,22_0,0.050000000000000044,average,fastANI,22
MASTER_WP4_UNINA_1__PM012_71775__bin.13.fa,23_0,0.050000000000000044,average,fastANI,23
MASTER_WP4_UNINA_2__V-21__bin.37.fa,24_0,0.050000000000000044,average,fastANI,24
YouL_2022__SRR13308528__bin.16.fa,25_0,0.050000000000000044,average,fastANI,25
CM_UNINA_FFOOD__FFOOD_244__bin.1.fa,26_1,0.050000000000000044,average,fastANI,26
CM_UNINA_FFOOD__FFOOD_287__bin.7.fa,26_1,0.050000000000000044,average,fastANI,26
CM_UNINA_FFOOD__FFOOD_309__bin.7.fa,26_1,0.050000000000000044,average,fastANI,26
CM_UNINA_FFOOD__FFOOD_347__bin.3.fa,26_1,0.050000000000000044,average,fastANI,26
CM_UNINA_FFOOD__FFOOD_385__bin.9.fa,26_1,0.050000000000000044,average,fastANI,26
CM_UNINA_FFOOD__FFOOD_388__bin.4.fa,26_1,0.050000000000000044,average,fastANI,26
CM_UNINA_FFOOD__FFOOD_418__bin.11.fa,26_1,0.050000000000000044,average,fastANI,26
DeFilippisF_xxxx__DF_41__bin.5.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__AS212_71775__bin.14.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__GR001_73417__bin.10.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__MO013_71775__bin.1.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__MZ011_71775__bin.5.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__PA012_73417__bin.7.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__PM013_71775__bin.4.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__PR003_71775__bin.5.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__PS007_71775__bin.2.fa,26_1,0.050000000000000044,average,fastANI,26
MagliuloR_2024__SRR28235345__bin.12.fa,26_1,0.050000000000000044,average,fastANI,26
MagliuloR_2024__SRR28235350__bin.8.fa,26_1,0.050000000000000044,average,fastANI,26
MASTER_WP4_UNINA_1__PM007_71775__bin.2.fa,27_0,0.050000000000000044,average,fastANI,27
GCF_007833675.1_ASM783367v1_genomic.fa,28_0,0.050000000000000044,average,fastANI,28
LeechJ_xxxx__AF43__bin.11.fa,29_0,0.050000000000000044,average,fastANI,29
LeechJ_xxxx__AF43__bin.3.fa,30_0,0.050000000000000044,average,fastANI,30
ZhaoCC_2020__SRS5803191__bin.31.fa,31_0,0.050000000000000044,average,fastANI,31
ZhaoCC_2020__SRS5803192__bin.31.fa,32_0,0.050000000000000044,average,fastANI,32
MAG_630.fa,33_1,0.050000000000000044,average,fastANI,33
WolfeBE_2014__671_Grayson__bin.12.fa,33_1,0.050000000000000044,average,fastANI,33
We5_bin.circ.3.fa,34_1,0.050000000000000044,average,fastANI,34
We6_bin.circ.4.fa,34_2,0.050000000000000044,average,fastANI,34
We6_bin.full.13.fa,34_3,0.050000000000000044,average,fastANI,34
ODFM-BA-A-0127-001_Megasphaera_cerevisiae_NSB1.fa,35_0,0.050000000000000044,average,fastANI,35
ODFM-BA-A-0128-001_Pectinatus_frisingensis_MB139.fa,36_0,0.050000000000000044,average,fastANI,36
MAG_440.fa,37_1,0.050000000000000044,average,fastANI,37
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.19.fa,37_1,0.050000000000000044,average,fastANI,37
MacoriG_2019__CS_R4__bin.5.fa,37_1,0.050000000000000044,average,fastANI,37
WalshAM_2020__ERS3466774__bin.6.fa,37_1,0.050000000000000044,average,fastANI,37
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.53.fa,38_0,0.050000000000000044,average,fastANI,38
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.29.fa,39_1,0.050000000000000044,average,fastANI,39
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.1.fa,39_1,0.050000000000000044,average,fastANI,39
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.32.fa,40_0,0.050000000000000044,average,fastANI,40
EBC_089.4.fa,41_0,0.050000000000000044,average,fastANI,41
MASTER_WP4_FFoQSI_1__VB-05-BD__bin.46.fa,42_0,0.050000000000000044,average,fastANI,42
AlvarezOrdonezA_xxxx__C07-19__bin.13.fa,43_1,0.050000000000000044,average,fastANI,43
AlvarezOrdonezA_xxxx__F02-18__bin.7.fa,43_1,0.050000000000000044,average,fastANI,43
AlvarezOrdonezA_xxxx__F02-19__bin.8.fa,43_1,0.050000000000000044,average,fastANI,43
AlvarezOrdonezA_xxxx__F03-18__bin.8.fa,43_1,0.050000000000000044,average,fastANI,43
AlvarezOrdonezA_xxxx__F03-19__bin.4.fa,43_1,0.050000000000000044,average,fastANI,43
AlvarezOrdonezA_xxxx__R04-18__bin.10.fa,43_1,0.050000000000000044,average,fastANI,43
AlvarezOrdonezA_xxxx__R04-19__bin.9.fa,43_1,0.050000000000000044,average,fastANI,43
DeFilippisF_xxxx__DS_91__bin.14.fa,43_1,0.050000000000000044,average,fastANI,43
DeFilippisF_xxxx__DS_97__bin.10.fa,43_1,0.050000000000000044,average,fastANI,43
AlvarezOrdonezA_xxxx__Q08-25__bin.6.fa,44_1,0.050000000000000044,average,fastANI,44
AlvarezOrdonezA_xxxx__Q08-26__bin.2.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_230__bin.4.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_238__bin.1.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_241__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_246__bin.8.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_254__bin.13.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_262__bin.10.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_270__bin.12.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_271__bin.2.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_274__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_278__bin.9.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_279__bin.11.fa,44_1,0.050000000000000044,average,fastANI,44
CM_UNINA_FFOOD__FFOOD_347__bin.8.fa,44_1,0.050000000000000044,average,fastANI,44
DeFilippisF_xxxx__DF_102__bin.19.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_CSIC_1__P2224_73323__bin.6.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_CSIC_2__P2543__bin.14.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_1__CF008_71775__bin.5.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_1__CS007_71775__bin.13.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_1__MO005_73417__bin.2.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_2__I-28__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_2__I-29__bin.1.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_2__I-30__bin.8.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_2__M-23.1__bin.2.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_2__M-24.1__bin.11.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_2__M-26.1__bin.5.fa,44_1,0.050000000000000044,average,fastANI,44
MASTER_WP4_UNINA_2__O-27__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
MagliuloR_2024__SRR28235356__bin.1.fa,44_1,0.050000000000000044,average,fastANI,44
MagliuloR_2024__SRR28235359__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
MagliuloR_2024__SRR28235361__bin.5.fa,44_1,0.050000000000000044,average,fastANI,44
MagliuloR_2024__SRR28235365__bin.5.fa,44_1,0.050000000000000044,average,fastANI,44
MagliuloR_2024__SRR28235374__bin.1.fa,44_1,0.050000000000000044,average,fastANI,44
MagliuloR_2024__SRR28235383__bin.8.fa,44_1,0.050000000000000044,average,fastANI,44
MagliuloR_2024__SRR28235390__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
MagliuloR_2024__SRR28235392__bin.5.fa,44_1,0.050000000000000044,average,fastANI,44
WalshL_xxxx__U-2-11__bin.1.fa,44_1,0.050000000000000044,average,fastANI,44
WalshL_xxxx__U-2-12__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
WalshL_xxxx__V3__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
WalshL_xxxx__V4__bin.4.fa,44_1,0.050000000000000044,average,fastANI,44
WalshL_xxxx__W8__bin.3.fa,44_1,0.050000000000000044,average,fastANI,44
AlvarezOrdonezA_xxxx__Q06-28__bin.11.fa,45_1,0.050000000000000044,average,fastANI,45
AlvarezOrdonezA_xxxx__Q06-30__bin.4.fa,45_1,0.050000000000000044,average,fastANI,45
CM_UNINA_FFOOD__FFOOD_289__bin.8.fa,45_1,0.050000000000000044,average,fastANI,45
CM_UNINA_FFOOD__FFOOD_418__bin.9.fa,45_1,0.050000000000000044,average,fastANI,45
DeFilippisF_xxxx__DF_88__bin.10.fa,45_1,0.050000000000000044,average,fastANI,45
FontanaF_2023__SRR20746915__bin.10.fa,45_1,0.050000000000000044,average,fastANI,45
Imad_A-2.bin.9.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_CSIC_1__P2232_73323__bin.4.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_CSIC_2__P2584__bin.1.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_CSIC_2__P2585__bin.9.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_CSIC_2__P2587__bin.1.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_CSIC_2__P2589__bin.5.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_CSIC_2__P2614__bin.35.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_CSIC_2__P2615__bin.19.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_CSIC_2__P2616__bin.5.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_FFoQSI_1__RC17-02__bin.16.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_FFoQSI_2__VB06-21__bin.1.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_FFoQSI_2__VB11-26__bin.7.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_UNINA_2__I-22__bin.6.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_UNINA_2__M-29__bin.19.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_UNINA_2__O-25.1__bin.26.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_UNINA_2__T-22__bin.24.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_UNINA_2__V-22__bin.9.fa,45_1,0.050000000000000044,average,fastANI,45
MagliuloR_2024__SRR28235352__bin.14.fa,45_1,0.050000000000000044,average,fastANI,45
YouL_2022__SRR13308521__bin.17.fa,45_1,0.050000000000000044,average,fastANI,45
YouL_2022__SRR13308524__bin.37.fa,45_1,0.050000000000000044,average,fastANI,45
YouL_2022__SRR13308540__bin.3.fa,45_1,0.050000000000000044,average,fastANI,45
MASTER_WP4_FFoQSI_1__DC18-02__bin.11.fa,46_0,0.050000000000000044,average,fastANI,46
DeFilippisF_xxxx__DS_111__bin.11.fa,47_1,0.050000000000000044,average,fastANI,47
DeFilippisF_xxxx__DS_112__bin.18.fa,47_1,0.050000000000000044,average,fastANI,47
LopezSanchezR_2023__SRR13708567__bin.13.fa,48_0,0.050000000000000044,average,fastANI,48
ChaconVargasK_2020__SRS6087088__bin.9.fa,49_1,0.050000000000000044,average,fastANI,49
ChaconVargasK_2020__SRS6087094__bin.10.fa,49_1,0.050000000000000044,average,fastANI,49
EBC_080.11.fa,50_1,0.050000000000000044,average,fastANI,50
MASTER_WP4_CSIC_2__P2525__bin.7.fa,50_1,0.050000000000000044,average,fastANI,50
MASTER_WP4_CSIC_2__P2574__bin.18.fa,50_1,0.050000000000000044,average,fastANI,50
MASTER_WP4_CSIC_2__P2577__bin.13.fa,50_1,0.050000000000000044,average,fastANI,50
MASTER_WP4_FFoQSI_2__VB06-21__bin.6.fa,50_1,0.050000000000000044,average,fastANI,50
MASTER_WP4_TEAGASC_1__TGS04-23__bin.7.fa,50_1,0.050000000000000044,average,fastANI,50
WalshL_xxxx__G10__bin.4.fa,50_1,0.050000000000000044,average,fastANI,50
WalshL_xxxx__G11__bin.3.fa,50_1,0.050000000000000044,average,fastANI,50
WalshL_xxxx__G2__bin.2.fa,50_1,0.050000000000000044,average,fastANI,50
WalshL_xxxx__H2__bin.1.fa,50_1,0.050000000000000044,average,fastANI,50
MASTER_WP4_CSIC_1__P2232_73323__bin.6.fa,51_0,0.050000000000000044,average,fastANI,51
BertuzziAS_2018__ERS2032089__bin.5.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032090__bin.4.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032091__bin.2.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032093__bin.5.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032094__bin.1.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032097__bin.8.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032101__bin.4.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032109__bin.5.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032113__bin.3.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032116__bin.4.fa,52_1,0.050000000000000044,average,fastANI,52
BertuzziAS_2018__ERS2032117__bin.8.fa,52_1,0.050000000000000044,average,fastANI,52
LeechJ_xxxx__AF34__bin.5.fa,52_1,0.050000000000000044,average,fastANI,52
MAG_312.fa,52_1,0.050000000000000044,average,fastANI,52
MAG_94.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_2__VB04-25__bin.1.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_2__VB06-25__bin.2.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_2__VB11-25__bin.11.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_2__VB15-22__bin.6.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_2__VB15-25__bin.5.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_2__VB15-28__bin.1.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_2__VB16-22__bin.11.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_3__VB07-25__bin.1.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_3__VB07-26__bin.3.fa,52_1,0.050000000000000044,average,fastANI,52
MASTER_WP4_FFoQSI_3__VB14-25__bin.11.fa,52_1,0.050000000000000044,average,fastANI,52
EBC_082.8.fa,53_1,0.050000000000000044,average,fastANI,53
MASTER_WP4_UNINA_1__MO002_71775__bin.1.fa,53_1,0.050000000000000044,average,fastANI,53
MASTER_WP4_UNINA_1__PM002_71775__bin.13.fa,53_1,0.050000000000000044,average,fastANI,53
MAG_196.fa,54_0,0.050000000000000044,average,fastANI,54
MASTER_WP4_TEAGASC_1__TGS15-30__bin.21.fa,55_0,0.050000000000000044,average,fastANI,55
AlvarezOrdonezA_xxxx__C07-18__bin.2.fa,56_1,0.050000000000000044,average,fastANI,56
AlvarezOrdonezA_xxxx__C07-19__bin.8.fa,56_1,0.050000000000000044,average,fastANI,56
CM_UNINA_FFOOD__FFOOD_339__bin.20.fa,57_1,0.050000000000000044,average,fastANI,57
MAG_623.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__KM-5G__bin.16.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.21.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.36.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-03-M5__bin.38.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-03-M6__bin.45.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-08-M4__bin.23.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-09-AG__bin.44.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-09-BD__bin.9.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.57.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-09-M8__bin.51.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-14D__bin.35.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-15-M10__bin.54.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-15-M9__bin.39.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-16-AG__bin.28.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-16-BD__bin.24.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-16-M15__bin.7.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB-16-M16__bin.9.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin.37.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_2__VB01-30__bin.10.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_3__VB02-29__bin.13.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_3__VB02-30__bin.19.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_3__VB07-30__bin.42.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_3__VB09-29__bin.28.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_FFoQSI_3__VB09-30__bin.40.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_TEAGASC_1__TGS04-29__bin.14.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_UNINA_1__FO005_71775__bin.15.fa,57_1,0.050000000000000044,average,fastANI,57
MASTER_WP4_UNINA_1__PU010_71775__bin.35.fa,57_1,0.050000000000000044,average,fastANI,57
QuijadaN_2022__ERR7245779__bin.43.fa,57_1,0.050000000000000044,average,fastANI,57
